五月天巴黎演唱会被指「真唱气息不稳」，如何从专业角度解读？与此前演唱会是否有不同？,gender,comments,likes,updated_time
现场唱和录音棚，有一个很大的区别，现场唱的换气很难不显眼。只有个别人特殊的唱法可以把换气做的很自然。其他人在现场真唱，必然会有比较突兀的换气。录音棚追求的结果完美，所以可以修掉。现场这么修，也本身不大厚道了。那现场唱的时候，感受不到突兀的换气，那就值得深究一下了。,1,0,1,2023-12-09 01:26:47
                  成语言而无信的由来       淡江中学的那架古董钢琴还在，从前的阿言时常会坐在那里弹奏着穿越到未来的旋律，有时候他会去自己未来的演唱会，见一见未来的自己，也见一见自己的歌迷，看他们有的人从无忧无虑的少年少女，变得中年油腻，不过不变的是，阿言感受得到他们始终能从歌声里得到快乐。他们跟着大声歌唱，就像坐着时光机回到过去，故事还在继续。当然，所有会场里永远有人年轻。       穿越者阿言有次到了3032年，他很惊讶地发现这一年他居然会开88场演唱会，他很好奇自己是怎么做到的，听了几次现场以后，他还蛮开心的，听到了自己还没写的歌，也开心大家唱的都是他写的歌。不过听着有时候一步一步往上爬的高音，在最高点碎在风里，他觉得有些不满意，于是后来有几次用魔力把正在“大摇大摆”演唱的阿言的话筒的声音收到1%，自己偷偷帮着放一张过去的CD，听听那时自己的声音，看着歌迷满意的样子，他也怡然自得。       阿言快六十了，不过青春怎么会流逝呢，老去的是时间，他还是粉丝的“宝宝”，而且他最近在舞台上有时候总有一种感觉，自己仿佛与一个人心有灵犀，那个人给他一种活力四射的感觉。有时这让他情不自禁在表演时更加卖力。此外，他心里有时候出现一个声音在喊，阿信。他不知道谁是阿信，不过总感觉这个名字很熟悉，但是他总是过了两三秒就忘了这个名字。       终于有一天，阿言在开演唱会，由于演唱会上穿越者阿言使用了太多魔力，那架古董钢琴在现世吸引了一群白蚁啃食。“阿信”这个名字又突然大声冲击着他的脑海，这次声音是从耳返里来的，把忘情大摆锤的他拉回了现实。这一次，他的心有灵犀，带给他一种危机感，仿佛诀别。此时穿越者已经顾不得不能和“自己”交流的规则，他把声音通过电磁波作用到阿言的耳返里，告诉他拯救那架钢琴的方法，而且要立刻马上。穿越的记忆是会被不自觉地遗忘的，不过那些记忆没有消失，而是被封印了，当穿越者违反规则与自己直接接触，封印才会消失。当然这也意味着钢琴有被毁灭的风险。这一刻死去的回忆开始攻击阿言，命运的齿轮开始转动，情急之下他忘了自己还在开演唱会，对着麦克风大喊，“助理快准备好我的ae86”。可是耳边依然继续的歌曲提醒了他，麦只有1%喔，他赶紧往后台跑。观众不知道发生了什么，此时曲目是时光机，“好像真实又像虚幻的情景”，不过隐约观众仿佛听到阿言的真实话语和歌曲交杂的声音，实备E6什么的，有人问，有没有听到谁在说十拍e6啊。演唱会还在继续，他们以为阿言在玩一种很新的演唱方式，只闻其声，不见其人。不过很快阿言又出现在舞台上，没人发现他好像变年轻了。     阿言匆匆跑到停车场，开上86，一路往北，驶离体育馆的时候，他听到我心中尚未崩溃的地方，他听到了十拍G8，他热泪盈眶，他听懂了，那是穿越者在歌唱着他们的羁绊。穿越者已经告诉他前往琴房的方法，开着车不能漫无目的转弯，碰到十字路口一定要心里默念，我不转弯，我不转弯，我不转弯，我不转弯，然后看到第一棵白杨木后开车再成功过一个弯道立刻停车，琴房就会出现在附近。     ......     阿言翻车了，车翻在了排水渠里。他以为自己也可以用排水渠过弯的。可他忘了，他从来不是秋名山车神。他没有成功过弯，琴房也就不会出现了，不过穿越者阿言突然出现了。阿言看着穿越者说，你怎么来了，演唱会怎么办，穿越者安慰着说道，“没关系，你已经很棒了，演唱会那边你不用担心，放着CD效果也是一样，歌迷都不在乎，你也不用在意呀，可惜以后再也见不到你了，帮不了你了，有件事必须告诉你，其实我的名字，叫做阿信，可是因为我出现过，你的名字就成了阿言，所有人的记忆都被修改了，包括你。不过现在我马上要消失了，不会出现在往后的时间里，这可以助你成仁，把人字还给你，每个人都会想起你叫阿信了。欧洲的演唱会也要加油，做最好的自己。”说完，穿越者雾化消失了，阿言喃喃道，别走，我是阿言，我是阿言，并在自己手里写下言字，怕自己忘记。突然他感到脑子一阵疼痛，昏倒在地。     刺耳的手机铃声让他恢复了意识，是助理打来的，他接通电话，那头传来急切的声音，阿言，你去哪了，发生什么事了.......演唱会还在继续，观众没有感到任何不适，动感的旋律，美妙的歌曲，青春的回忆，都难以忘记。......以上就是古语“言而无信”的来历。注：相传在黄昏日暮时，言和信存在一定在同一时空出现并相遇的可能性。,1,1,1,2023-12-09 00:57:01
音道早已撕裂,0,0,2,2023-12-09 00:52:36
我收回之前的嘲讽，要不你们还是假唱吧，听了真唱更想退票，怎么形容呢，就像一只老母鸡想打鸣还感冒了那种声音，如鲠在喉。,-1,0,0,2023-12-09 00:43:32
一些漫不经心的说话将我疑惑解开一种莫名其妙的冲动叫我继续追寻你的一举一动我却备加留心只要真相大白一切一切无愧于心,1,1,3,2023-12-09 00:40:04
（图/微博@五月天）五月天因为涉嫌假唱，被人民日报点名，一时间被推入风口浪尖，甚至有律师说，如果证实了五月天确实假唱了，他们将面临禁演的惩罚。我个人其实非常的不解，因为假唱的太多了，为什么单单拿出五月天这个乐队开刀啊。春晚假唱的，完全数不过来啊。这个年头，在演艺界，真唱才应该是新闻，假唱，也太正常不过了。以春晚为例，事实上，1983年-1993年这十年的演唱，全是假唱，俗称“假唱十年”，因为技术条件受限，现场要直播，没有办法修音，万一歌手状况不好，紧张了，破个音，走个调，不好看。所以一律假唱，每个音都要修的又平又稳，决不允许你走调，该是什么调，就是什么调。其实就算知名歌手，也都假唱过。比如那英，孙悦这些。因为真唱风险大啊，万一唱的有瑕疵，那惩罚可就大了。梅艳芳就差点因为春晚上的走音，被“封杀”了7年。像萨顶顶这样假到连话筒都拿反了的，在假唱届也是个名人了。这次为什么说，五月天在演唱会上涉嫌假唱。据举报人分析，是因为有几首歌，音准极稳定，正常的人声根本唱不到，尤其是阿信那嗓子，他的“车祸”现场还在互联网上挂着呢。但是为什么说，必须拿五月天假唱来开刀呢。我想，除了它在国内的受众群体比较大之外，五月天其实还是个摇滚乐队，一个摇滚乐队，竟然还假唱，这是在打滚圈的脸啊。摇滚的本质就是真实，一个连真唱都不敢的乐队，怎么配称得上是摇滚乐队呢。二手玫瑰的梁龙老师，就对五月天颇为不屑，在之前的访谈中，他表达了自己完全欣赏不了五月天的意思。梁龙老师的意思我明白，我也非常认同他的观点。因为摇滚，首先还是要对这个社会有认知，有思考，有批判，不能仅仅是写出很多阳光明媚的式的歌曲，你就很有力量。像五月天的什么“我和我骄傲的倔强”，“你不是真正的快乐”，说实话，都是比较口号式的，比较正能量的，比较小确幸的，但是在摇滚精神这块欠缺了不少。与万能青年旅店、草东没有派对这些乐队相比，五月天的歌词非常缺乏文学性和思辨力，他们的歌曲质量与他们在乐坛的地位完全不成正比。说的更明白些，五月天，其实更像个偶像团队。不是说他们没实力，而是他们的实力，可能更多体现在表演这个层面上，但是在创作上，他们对于大众其实并没提供太多的思考。说的更更明白一点，五月天，其实就是当代流行乐坛的“奶头乐”，是朗朗上口型的。他们的歌“好听”，“耳熟能详”，也很能让年轻朋友热泪盈眶，但是他们缺乏切入社会的力量和深度。这个我说了再多也没用，大家自行对比一下就能明白，听首五月天的，再换个万能青年旅店，你自己就会明白，哪个更摇滚。这个不是风格的问题，也不是萝卜青菜各有所爱的区别，而是一旦摇滚太流行了，就会必然变成“奶头乐”，变成商业产物，以五月天开演唱会（圈钱）的频率，上个月，光在上海，他们就开了八天，不假唱，以阿信那种唱歌方式，其实是受不了的。假唱，其实也意味着，他们不敢真实。但是既然你不敢真实，怎么还偏要去赚能力范围以外的钱呢？求真，是摇滚乐队的底线，也应该是全社会的底线。我们愤怒假唱，其实也正是因为现在真实的东西越来越少了，我们对于弄虚作假的东西，容忍度变得越来越低，这是一件好事。面对真实，需要智商，更需要勇气。在摇滚圈，真实是一道生命线。正如崔健是无论如何都不会假唱的，我绝对相信这点，这跟商业可没什么关系。五月天假唱风波以后，他的歌迷们也该长大了。别“倔强”了，面对现实吧！,1,0,2,2023-12-09 00:26:51
最近看了关于五月天这件事首先我不是五月天歌迷，但是五月天的一些歌还是很喜欢的即使全网锤得满天飞，我还是想说，大多数人只是跟风而已，更多人谁在乎谁真唱假唱，只是宣泄口而已，更多的就是人人喊打而已五月天的演唱会如果好买，即使出了这事，价格不贵我也会买一张去听听，去感受一下，贵的话就算了，假唱我换位思考不接受，因为这是欺骗，放cd我也OK我很在乎的是气氛和有没有唱，如果只是表演，配合演出对口型退票就完事了，如果放了cd但是唱了根据法规需要退就退，而且最好让歌迷自主选择我是孙燕姿粉丝，就这么说吧，二十周年赶上不可抗因素了，如果现场我肯定支持，如果孙燕姿唱不了说放一整场cd我也愿意买单，当然欺骗的话太过丑陋，我选择退票喜欢五月天孙燕姿的也是三十岁左右的人了，我们在乎的是真唱假唱？更在乎的是氛围，是青春，有多少少男少女，第一次去演唱会只能买外围票，现场大屏幕都看不清，但也是全场跟唱，自己感动到流眼泪因为那是青春啊所以我不理解大家着急踩这么狠干嘛呢？好像大家都是买票的那伙人一样，明明不是一个圈子非在这找存在感，当然众望所归，人人喊打是大家喜闻乐见的，但是我想说很多事做自己最好我不支持假唱，不支持五月天，但是我觉得很多事只要自己开心就好，五月天的粉丝可能难过但是完全没必要，看过的亏钱了可以去退，没看过的可以不去看，但是千金难买爷乐意啊但是跟着瞎凑热闹人云亦云的家伙们，我瞧不上,1,10,2,2023-12-09 00:19:18
翔味巧克力跟巧克力味的翔，真的非要选一个吗？明明还有很多开宗立派的大厨，精致现做的私房，美味可口的路边小摊。实在不行，也可以去伍佰那里吃自助啊（不是）。,-1,0,1,2023-12-08 23:18:09
3.15可以曝光吗,0,0,0,2023-12-08 23:13:16
热搜慢慢撤了，热度也降了。。。基本就是这样不了了之了,-1,0,0,2023-12-08 22:53:17
我感觉怎么还是更喜欢之前假唱的状态。。。听着舒服，氛围舒服。,1,0,0,2023-12-08 22:44:48
赚钱吗，不寒碜。我干不动了，公司又没炒我，我干嘛要自己离职，我傻啊我。能以假乱真，公司又没发现，搞他奶奶的就是了(请原谅我是这么耿直)，现在客户发现我是用AI工作，那我就不用AI了吗，反正公司就喜欢我在这儿上班，他不炒我，你们这些客户是干嘛天天要盯着我呢？？？真是的。,1,0,2,2023-12-08 22:38:02
其实去巴黎结果mc还是中文就很难评了。,-1,0,0,2023-12-08 22:30:03
不喜欢对面的一切，个人感受。,0,0,0,2023-12-08 22:26:55
唱的什么一坨狗屎,1,0,0,2023-12-08 22:21:02
用一次规矩的考试20分，来解释之前的90分不是作弊,-1,1,49,2023-12-08 22:04:53
听了几首真唱的曲目，感觉水平参加校园十大歌手还是能走几轮的。,1,0,3,2023-12-08 22:03:54
不管他唱还是没唱，给他扬个名吧！能进汉语考试的那种……来，玩儿个梗吧！让五月天进汉语考试的那种！你信信真唱还是信信假唱？你信不信信，信信了信是真唱？你不信信，信也信了信是真唱，就是腔没在声上？不管你信不信信，他也那个模样，唱还是没唱……信不信信唱了，但是信唱了多少，只有信自己相信，信信了什么？天知道信信了什么……信相信信唱了，信不信信唱了，所以到底信信还是不信信，不信信还是信信，这都是你相信信不相信信的问题，不管你们信信不信信，反正信自己是信了，至于他自己信自己的是唱了还是没唱，你们先把这段念明白再说……你们要相信信，要是连信都不信了，还信什么呢？要不实诚点儿，改名叫阿不信吧…… ,-1,0,0,2023-12-08 21:59:27
好不容易真唱一回 不要吹毛求疵了,1,0,1,2023-12-08 21:56:31
小姐从良了，以前就不是小姐了？,1,1,0,2023-12-08 21:46:23
五月天老粉，几年前看过广州场和鸟巢场，但是这次确实挺失望。就好比开车撞人了逃逸未遂，然后你对警察说：“我下次不撞人就行”,1,0,0,2023-12-08 21:33:17
我就说一件事，最新消息，五月天粉丝微博说用仪器测出阿信现场唱到了F6。然后，阿信自己认领了。。。。。。E！6！ 哥们儿在这给你说唱！F！6！至此，华语乐坛愿称阿信为最强！,-1,15,136,2023-12-08 21:28:48
讲真，之前的演唱会，你们所谓的“少年感”是真唱；伦敦这次的各种差强人意，也是真唱。之所以差距这么大是因为这中间的某个时间点卵巢早衰了（你们没看最近的新闻吗？）,1,0,0,2023-12-08 21:28:28
,0,0,0,2023-12-08 20:57:12
我不是他们歌迷，在他们年轻的时候听过几首歌，阿信唱功不是一直以来都这样的啊，不要要求阿信唱功，只是年轻的时候好点，现在我看巴黎场也没有区别很大……这次的歌迷的反应来看，感觉大家好像都不是5月天的纯粹的歌迷，单纯因为那些过去的歌对上了青春才喜欢5月天的，对5月天好像一点都不了解的样子……哎，还是盘子太大，什么人都有？不能理解,0,0,0,2023-12-08 20:52:18
说实话，中学就听五月天，当年也买过正版的磁带和cd。现场确实没去过，后来线上看过听过他们的现场和演唱会视频，确实不太行，和录音棚出来的差距挺大。很显然阿信就不是一个擅长唱、跳的主唱。这次的回应也显得有点尴尬。建议以后歌手们别动不动就连开几场了，哪怕你们隔天开一场都好。人是动物不是机器，机器都要休息，何况是人。,1,0,0,2023-12-08 20:35:31
我没有开挂！——55开,0,0,0,2023-12-08 20:20:49
嗓子保护的还可以,1,0,0,2023-12-08 20:18:46
事实证明，蛙蛙岛艺人只拿内地当傻子啊，钱好赚，韭菜好香。全开麦确实难听啊……还是cd好听…真是晚节不保啊。坐等一个官方调查结果吧。如果官方都说人是真的那估计有zzzq在里面了。,-1,0,0,2023-12-08 19:56:23
感觉又滑稽又可怜，早点大大方方承认不好吗,1,0,0,2023-12-08 19:50:17
你是来自证的，还是来增加证据素材的？没能证明自己未曾假唱，倒是说明了为什么假唱。再搞一次演唱会来证明自己没假唱，这操作很像当年吃鸡大神蛇哥。当初55开被锤作弊的那段时间，让吃鸡主播人人自危，蛇哥作为斗鱼吃鸡直播的顶流也被怀疑是开了挂。但他没有像其他主播那样打嘴炮，而是勇敢得选择了线下自证。结果出人意料的是，他打出了相当高水平的操作，和韦神差不多的切片扫射，还有高水准压强让弹痕聚拢。连在场的质疑者都有点打退堂鼓了。尽管没有完美复刻被质疑的片段，但可行性算是打出来了。至少能看出，这位是有真本事在身上的。但在腾讯这边第二次自证的时候发生了戏剧性的一幕。自证直播过程中，因为登陆的账号涉嫌低端局虐菜，群众要求他换号。呼声强烈，让他脑子一乱，不小心登陆了一个因为作弊而封号的账号。自证变成了自爆。这下就彻底身败名裂了。人是复杂的生物，不是说有实力就不作弊了。为了保证状态挣更多的钱，可能采用作弊方式的动机会比菜鸟更大。他们有实力在一定程度上证明自己不作弊也有如此发挥，但这不代表能否认自己作过弊。所以实力自证哪怕是“成功”了，也只证明自己有实力做到作弊水准，不代表他没作弊。更何况.......五月天这样“自证”证到“难听”的地步，成为与假唱对比用的新素材。,1,10,205,2023-12-08 19:46:48
https://www.zhihu.com/video/1716542858528669696反正我听出来破音,-1,0,0,2023-12-08 19:44:38
事到如今，不如就高调宣布吸收乌兰图雅，五月天改组为六月天，然后高音阿信交给乌兰图雅唱，乌兰图雅交给观众唱。排球式唱法，多好。,1,6,209,2023-12-08 19:42:39
去泰国看人妖唱let it go就挺好的，人漂亮，舞好看，歌好听（废话都是假唱）为啥要看一个中年老男人跳来跳去，都无所谓是不是假唱,1,0,0,2023-12-08 19:29:48
哈哈哈，华语乐坛最强唱功，粉丝夸你能唱到F6，你还认领了。真是给你梯子下，你当天梯爬，你E6都没唱上去，吃奶的劲都用上了好不容易唱到E5，这是认五作六，要不以后你叫六月天吧。,1,0,3,2023-12-08 19:26:22
阿信，终于用事实，向所有人证明了：他用一场真唱，验证了之前的演唱会全都有大片的假唱所谓的E6，10个拍子，只在调音师的软件里，并不在他喉咙的声带里以他昨天的现场状态，连开八场，就是个笑话。他撑不到八场，就要去做声带手术了。因此，中国大陆歌迷，有权追回演唱会的门票。,-1,1,18,2023-12-08 19:18:38
这事建议五月天找国足取经。倒时差、水土不服、巴黎气候太干燥了影响嗓子、巴黎湿度太高嗓子发炎、巴黎空气太差影响嗓子、巴黎酥面包太干卡喉咙了、法师生蚝吃多了嗓子不舒服……说到这里，我不由想起了郑源的《一万个理由》如果你真的需要什么理由一万个够不够？如果我真的需要什么借口 一万个都不够,-1,0,1,2023-12-08 19:15:43
就这一场，要比国内开的68场加起来都要累，小命差点留在台上了。偏偏这一场赚的还不多，比起国内动辄四五万人起步的的体育场，简直亏到奶奶家了,1,0,4,2023-12-08 19:03:55
接了很多客，休息了一天，就说自己是良家妇女。五月天是不是觉得除了他们自己，别人都是老实人？呸！,-1,0,0,2023-12-08 19:01:12
上面的人手舞足蹈手持道具像抽疯，下面的人左呼右喊前摇后摆假高潮，这两件事只有在某一件事发生的时候才会发生。双方不时发出介乎于人工合成的声音，双方且有金钱交易，依我推断这里面必然有古怪。,1,0,0,2023-12-08 18:55:29
可能是法国水质不好导致发挥失常,0,0,0,2023-12-08 18:55:14
这不就跟地沟油一样吗？用地沟油说不健康，改用真油又说不如之前的香。,1,0,1,2023-12-08 18:50:16
01倪妮杨幂抛弃AB？这次的GQ红毯看点还是很多的，男星女星的状态都算是很不错的。GQ也算是下功夫了，改变了之前红毯的风格，直接让大家坐着船出场。只不过明星坐在一个小船里，气氛明显是有一些尴尬，灯光看起来也怪怪的。因为所有明星看起来都有点不知所措，所以尴尬还直接爆了热搜。也有同在一条船没那么尴尬的，就是倪妮跟杨幂，两个人甚至炒起了CP。两个人在船上牵手了，杨幂还差点摔进倪妮的怀里，倪妮还说，欢迎参加我们俩的婚礼，杨幂指着倪妮说，我妻子我妻子。​了解更多娱乐八卦猛料，请关注公众号/小红书/抖音/快手：八卦疯叔然后两人的CP就冲上了热搜，引起了热议，有人觉得两个人都挺漂亮的，也比较有意思，卖一卖也没什么。但也有不少瓜友吐槽，说倪妮现在经常跟女生炒CP，感觉有点卖过头了。这俩人今晚的合照跟互动都不少，也有瓜友好奇，她俩之前有这么熟悉吗？怎么突然就成了好闺蜜了？怎么感觉都是为了热度。她俩当然是认识的，但是之前没有营销过好姐妹，她俩倒是有一个共同的好闺蜜，就是AB。所以不少人看到她俩的合照，马上就想起已经凉了的AB。有一说一，那时候AB还在，三个人的关系也只是看着好，其实也挺塑料的，现在也是一样，只要能够有热度，谁和谁炒一下都可以，私下的联系并不多。02五月天的倔强！现在五月天假唱的事情闹得沸沸扬扬，关于这件事，评论也是两极分化，粉丝们一口咬定视频是恶意剪辑，五月天是被人黑了，要么就是嘴硬，说五月天假唱他们也愿意买票。更多瓜友对五月天非常失望，因为从现场视频来看，他们假唱的非常明显，也非常敷衍，感觉就是为了圈钱在开演唱会，在上海的时候连开八场，包括应援棒什么的也都在收费，所以引起了很大的吐槽，瓜友们纷纷觉得五月天这是要晚节不保了。因为假唱还会涉及到违法的问题，甚至不少律师都在讨论，五月天到底会受到什么处罚了。一开始五月天的团队也给出了回应，说要直播他们在巴黎的演唱会，后来又否认了假唱，还是没什么用。知道五月天的主场阿信本人亲自发长文回应了假唱的事情，疯叔给大家画一下重点，就是自己真唱，没有假唱。阿信说每次唱完《我心中的尚未崩坏的地方》里的10拍E6总是跪足捶地：“每次的嘶吼，每一场，每一声，都来自于我依赖了24年的嗓子。除了真唱，否则没有其他感动你的方式。我确信每一场五月天，都会用尽全力。整篇看下来，文字有点青春疼痛文学的意思，把最近的假唱风波归结为“有人在生日的时候调皮的往身上砸派”。但是整篇长文看下来，并没有什么重点，大致就是在打感情牌，不过粉丝还是挺吃这一套的，不少人都觉得阿信是被人黑了，他们没有假唱。评论区全是粉丝支持的声音。但是阿信的这个长文，引发了众多吐槽，不少瓜友都关注到，他写了这么多字，都没有正面回应假唱的事情，甚至不敢说一句“没有假唱”，感觉就是顾左右而言他。而且阿信还强调，自己真唱了10拍E6，这更是引起了圈内众多专业人士的吐槽，简单来说，装的有点过头了，五月天的歌也很少有这么高的海豚音。而五月天巴黎演唱会的时候，阿信在真唱的情况下，只是老老实实站着，也会边走边唱，但没有之前那么大幅度的动作了，甩麦甩到耳后更是不可能。网友也表示，五月天巴黎演唱会确实能听出来是真唱。有难度的地方也会有音不准或者破音的情况，也会躲高音让粉丝合唱。但也不是很影响演出效果，就像粉丝说的演唱会氛围也很重要。但越能听出是真唱， 越是对比的之前连开8场演出有多讽刺。一场全程三小时的真唱演出，消耗的体力和耐力难以想象，阿信本人现场最后段的时候明显已经拼尽全力，那么之前动辄连开几场的演出，又是怎么做到轻轻松松？所以不少网友认为，这场直播演唱会和之前的演唱会对比明显，反而间接证明之前有假唱的嫌疑。之前的演唱会音准完美得好像CD，而休息了多天的巴黎演唱会直播却并没有达到之前演唱会的水平。难道是五月天到了巴黎有些水土不服吗？至于五月天主唱在发文时“夸下海口”的高唱到E6的问题，也引起网友关注。有粉丝直接用音调仪测量阿信演唱会音频，发现不仅达到了E6，甚至都达到了F6，对此阿信本人还现身评论区认领说自己“冲过头”，但网友质疑没有提取干声是无法做出准确鉴定的。五月天在演唱会的最后还忍不住哽咽，说“一个黑暗过去了，另外一个新的时代要来临了”，并称：“不可能让每个人看到你就喜欢上你”疑似再度回应假唱争议。演唱会结束后，阿信也发文感谢粉丝。只能说，五月天在巴黎的演唱会在舆论的监督下确实真唱了，但也并不能证明之前没有假唱。反倒是会让花钱买票的歌迷感受到落差，明明能够真唱，却用假唱敷衍。03刘诗诗片酬曝光？近日《一念关山》剧组主演的片酬曝光了！刘诗诗一集片酬疑似278w，刘宇宁一集片酬195w，对此不少刘诗诗粉丝表示这个数字太假了，《一念关山》总共40集，刘诗诗一集278w的话，那一部剧下来她的总片酬不就是一亿多了，现在剧圈讲究个限薪令，她哪可能有那么高的片酬，更有甚者，认为278w是刘诗诗一部剧的总片酬。这就有点睁着眼睛说瞎话了，娱圈208w的名号不是吹嘘出来的，刘诗诗的总片酬绝不可能在278w。据疯叔所知，这个一集278w其实是以刘诗诗的出镜戏份拍摄时长为划分标准的，不是说剧一共40集，没有刘诗诗的集数，或者她出场较少的那一集也给到她278w的片酬。然后刘诗诗的总片酬在大几千万，相对来说，她这个片酬在影视寒冬期算得上是天价片酬了（比如杨幂、倪妮等85花现在的片酬是一部戏三四千万）！这是因为当初出品公司找刘诗诗就是为了来给刘宇宁抬轿的，片酬方面自然就给刘诗诗开了一个相当优渥的数字。本来拍摄时期，这部剧的高光戏份也是尽可能放在了刘宇宁身上的，只可惜剧播出后，刘诗诗和刘宇宁这对男女主的cp没能炒作起来，刘诗诗和常华森的“师徒cp”反倒更出圈。另外刘宇宁还被骂是古装丑男，目前剧的红利主要是刘诗诗和一众配角吃到了，刘宇宁当下在路人圈的风评相对较差，因为这事，柠萌和刘诗诗，以及联合出品方271都闹得挺不愉快的！04张韶涵假唱？现在有网友发现第一个锤五月天假唱的up主之前锤过张韶涵也假唱过，而且张韶涵吧吧主，还出来承认了说张韶涵出道至今假唱次数不超过10次。有网友说张韶涵从翻红起就一直营销自己冻龄冻嗓，是不是也靠假唱来撑演唱会。最近关于这事的讨论，音乐界所有的博主基本上都要下场了，特别五月天今天还出来吹牛，讲自己每场都要唱足10拍E6的高音，把乐理界的人也炸出来了，说估计只有知了猴能做到了，也是挺有意思的，目前关于假唱这事网上瓜都挺复杂的，粉圈和音乐圈是混战。疯叔去打听了一下，张韶涵在准备演唱会这一块算是真的花心思的了，她也没有冻嗓，前几年年纪大了以后，高音也飙不上去过，自己花了好几百万去学习新的发声方式延长职业生涯。但你说她从来没假唱过，疯叔是不敢打这个包票的。只能说今年，还没有网友来锤她有过离谱的假唱行为。但如果后续五月天被锤死了，那个up主之前测评过的人估计都要瑟瑟发抖了。,1,0,2,2023-12-08 18:45:12
我们普通人的肺活量只有几千而阿宏在巴黎的肺活量是53万而之前为了国内的五迷老师，阿宏展现了自己的最终形态，肺活量是1亿2千万！,1,1,0,2023-12-08 18:34:40
真唱气息不稳就对了，不然也犯不着假唱啊。既然真唱气息不稳，说明唱功有所下降啊。平时是不是打球、泡妞去了？这次被一个民间高手摆了一道。把窗户纸捅破了。那你们以后就得悠着点了。一次假唱没事，改正就是了。要是再被抓住一次假唱，饭碗可能就没了。,1,0,0,2023-12-08 18:21:16
怎么站在台上都不动一下我还是喜欢你以前唱歌桀骜不驯的样子,1,0,3,2023-12-08 18:20:45
五月天，是你，是你，是你，才有了五月天。现在热榜上也是，一天，两天，三天，直到你说出没有文案没有公关的内心话。哪天这个事过去了，五月天就会唱的更棒了。哪天他们组有谁说了，不好听的话，又倒查回来，还能不能赔钱,1,0,0,2023-12-08 18:09:05
抛开事实不谈这就是音乐！这就是青春！这就是五月天！事实：抛开我扯犊子呢,1,0,1,2023-12-08 18:07:37
所以蛮好奇的，评论区的人几个是晚上三点爬起来看了全场直播的？另外说个冷知识，因为堵车，三点十五才开场。,1,0,0,2023-12-08 18:03:19
我们粉丝就是去看“演”唱会的，被你们这些黑子搞得只能听有失水准的演“唱”会了。气鼓鼓   ,-1,0,1,2023-12-08 18:01:15
早这么唱，就算破音了路人也不会太苛责，只会说年龄大了还这么卖力，结果你先假唱，被锤了之后又来了一场真唱，还唱成这个样子，各种破音走调，感觉都要咽气了！明显跟之前唱的不一样，尴尬不尴尬！,0,0,0,2023-12-08 17:55:58
其实我还是蛮好奇的。真唱气息不稳，走音，或是忘词，各种突发，不是很正常吗？？体验氛围，看看自己喜爱的歌手，这才是去看演唱会的最大乐趣。如果是为了听效果最好的歌曲，那不如用看演唱会的钱搞一套高品质的Hifi设备（当然一场的票价可能不够），然后下高音质的音频来听。而且一般的走音，变调，气息不稳，普通观众在那种舞台氛围下根本就听不出来。所以假唱完全是一种损人利己的行为，除了偷懒，真的完全没唱功的人可能需要。真想不通五月天这种还算实力派的乐队（虽然很多人都吐槽阿信唱功烂公鸭嗓）干这种事是为啥。就为了恰烂钱保证自身体力多开几场吗？还是觉得歌迷真的人傻钱多（虽然部分歌迷真的是）？这一波真的是翻车翻大了，以后五月天演唱会，估计把把都得被盯上。,1,0,0,2023-12-08 17:52:27
他明明能大大方方承认自己假唱的，可是他却选择在自己的演唱会，唱着最励志的歌词，一次次的撕裂破音，自己锤自己假唱。我只能说这波自锤太摇滚了～阿信这样做一定有自己的深意,1,2,0,2023-12-08 17:51:36
看完巴黎演唱会，假不假唱已经无所谓了。五月天的歌一直都是属于比较有难度的，KTV里也经常点五月天《离开地球表面》《破阵曲》等，我肯定是不如专业歌手的，但是这些歌真的很费嗓子。看完巴黎演唱会片段，我知道五月天阿信也是人，单个一首再难唱也能唱，但是如果每一首都难唱，那是真的难，阿信在台上声嘶力竭至少证明了三点：1.实锤了之前假唱。2.阿信嗓音确实不如前了。3.五月天的歌不适合连续唱。我算是一直在关注五月天假唱的情况了，通过巴黎演唱会，基本上确定了是半开麦，也就是类似于全民k歌里的智能开麦，你不唱那后台就会把原唱放出来，这在技术上没什么难度，也能避免一些难度上不去的尴尬。所以五月天和幕后公司还是不要太贪心，歌虽然难唱但是确实是好听的，没必要硬和那些唱抒情歌的歌手比，难度不一样。,1,0,3,2023-12-08 17:43:53
我还是很支持阿信的，毕竟从小就听他的歌对我影响很大，那时候走在大街上全是他的歌，全班男生都喜欢他的节奏他的旋律。《死了都要爱》《离歌》《假如》《北京一夜》……到现在这些歌我都还记得歌词。​,1,11,53,2023-12-08 17:40:54
在现场的人可真就是稻花香里说丰年，听取蛙声一片了啊哈哈哈,1,0,2,2023-12-08 17:36:39
难题在上海文旅局。,-1,0,4,2023-12-08 17:32:38
关键是我听下来他巴黎站也没有真唱啊…,-1,0,1,2023-12-08 17:27:25
