张雪峰文科就是服务业,Querytime:2023-12-23 20:54,点赞数,点评数,用户昵称,IP位置
张雪峰：马前卒你有点太极端了,2023-12-17 03:28,0,0,three two one,陕西
张的受众群体就是全家指着一个大学生出人头地的家庭，对于他们其实文理都不适用，数学、化学、理论物理这样的专业他们也瞧不上，适用的只有工科。他们的心理就是能满足毕业就有高收入的专业就有用，满足不了就是坑人。你和一帮这样的人谈高等教育本身就是对牛弹琴，他们只是需要一个专科或者高职就够了，但是因为教育和就业体制的畸形不得不上个本科，要不是竞争压力大，读研在他们眼里都是有病。,2023-12-17 02:57,5,0,Rango,北京
他说的99.99没错 因为现在中国人99.99都只认钱[笑哭R] 。 在中国有学哲学 文学这些吗 我说我喜欢读西游红楼 学弟学妹都说我老土 没错 都这么说,2023-12-17 02:31,4,1,纽约毒舌君,美国
不，文科最有用的地方是告诉人一天工作八小时以上是反人类的，至于为什么这句话落不到实处，也是某些文科人的原因，理科解决不了这个问题，虽然似乎理科能让劳动生产率达到应当实行八小时工作制的状态（在上世纪的美国率先达到）[偷笑R],2023-12-17 02:30,2,1,AlbertEWang,德国
我觉得大概就是你可以嘲讽文科行业工资低，但不能嘲讽文科生仍然保有的精神理想。你可以嘲讽普罗米修斯救人类被惩罚活该，但你没资格评价他盗火的勇气愚蠢。如果你读过一点到高中水平的历史学，哲学，文学，那大概都只会对这些前辈的精神和风骨充满敬意。你可以不是理想主义者，也可以批判理想主义者，唯独没资格嘲讽他们所坚持和捍卫的理想。,2023-12-17 02:14,6,1,Ceci,四川
怎么说呢，如果我有房，我有一份不愁温饱的收入尚可的工作，我是觉得你说的是对的。但是我在生存线挣扎[捂脸R]所以我听张雪峰的。但有时候我也矛盾，也会想你的这个问题，然后就会被身边人嘲笑，说让我好好工作吧，这不是我该考虑的，不现实，我也改变不了什么……我因为这两种纠缠而时常陷入痛苦,2023-12-17 02:11,1,0,Amami,北京
在评论区里歧视文科生的理科生大多数都是考不了几个逼分的[偷笑R]真有能耐的谁有空在评论区拉踩啊[偷笑R]先看看自己数学能不能及格吧[偷笑R],2023-12-17 02:00,2,0,抹茶瑞纳不加冰,黑龙江
我就一句话，我想不靠父母也能活着，我想买房买车，我学理可能很快的拿到一个可观的工资开始生活。我不反对你所谓的理想，但我没时间沉淀几年，我需要钱，这是大部分人的想法。谁对谁错不重要，但活着很重要,2023-12-17 01:57,8,1,ㅤ,山东
嗯嗯嗯嗯嗯文科没用，你们都别学汉字了，你们用公式造字吧[偷笑R],2023-12-17 01:57,0,0,抹茶瑞纳不加冰,黑龙江
所有言论都要考虑受众，张学峰的言论对于大部分普通小孩来说没毛病。逻辑很粗暴，家里有条件的干什么都可以，没有条件的就先有个稳定的工作。有些人去追求月亮是因为他本身就拥有六便士，而他给很多小孩儿指的都是有六便士的路，否则这些人更大概率抱月而死。,2023-12-17 01:31,2,0,用户已注销,安徽
你的生活：外滩，休闲，职业顾问。普通人的生活：吃什么，房租，还不下班。人与人有差距的，不要坐在阳春白雪里颐指气使地嘲笑着下里巴人，下里巴人才不会在乎，那不是赖以生存的口粮。,2023-12-17 01:27,10,0,阳仔少七八,山东
其实不管是对于张雪峰的支持还是反对，我一直认为不要陷入自以为看清世界看清现实的自怨自艾中，有看到很多评论说张雪峰打破信息差，让普通家庭的孩子的选择有了参考性，但很多时候我们包括他本人都是站在结果的视角下去看的，有点像马后炮，然后开始痛斥自己曾经走过的这条路。不论是理想也好现实也罢，过去的总归改变不了，就像现在的你改变不了曾经高中的文理选择，毕业的你改变不了专业的选择，但对自己未来的改变是可以的，总之批判可以，但不要只停留在批判，总得做些什么改变自己的现状，而不是把原因归结到过去之后就不管了。,2023-12-17 01:26,6,1,甘茗,上海
"也许，我觉得文科是服务业没有问题，其实世界上的工作大抵只有两类，一类是服务业一类是销售。我觉得这句话真正让人不舒服的是""舔""，这是明确带有上位下位之分的一个词，仿佛是讲做服务业的文科生是低于什么一等的，我们在舔谁？是这句话的隐藏主语。其实平等各个岗位缩小薪酬差距才是解决困境的方式，至少现在我们应该可以达成共识，社会是需要文科的，而文科工资低也不是文科生的错。[哭惹R]",2023-12-17 01:14,0,0,禾禾和舟,天津
张雪峰很精明，他吃到流量红利后就一直保持着语出惊人暴涨热度的节奏。但我想说，任何一个老师，如果ta能指着学生鼻子开地图炮，并且故意夸张言辞冒犯学生是“舔”，那这个老师心理绝对很扭曲。张雪峰把冒犯当有趣，甚至明里暗里总标榜自己直率坦诚，这逻辑像不像职场上靠言语拿捏试探年轻人的老油条？“我冒犯你是为你好，我说的都是大实话，孩子听大人的，乖”。学文学理是大家的自由，但做出选择的前提大可不必是一场声势浩大的自我贬低。,2023-12-17 01:07,5,0,来虚圈造作啊,辽宁
劝人学文是没遇过身边的困难家庭同学吗，本科在江苏211遇到的班长每年生活费全靠奖学金和贫困建档的补助，真是很开朗很乐意助人的一个人。我觉得还好他选了计算机这个专业，他要是学了法律或者天坑专业未来他活的会多惨大家都知道,2023-12-17 01:06,3,0,ᅠᅠᅠ,安徽
何不食肉糜呢，可能是你的社会地位已经到了已经影响了你的眼界，看不见普通人的生活，好好关注一下今年普通毕业生的真实就业情况就明白了，张雪峰的发言可能确实是偏激了，但不可否认，适合百分99的普通家庭，剩下那百分之1可能就是你说的有理想有天赋的普通家庭，这样的对比根本没有悬念,2023-12-17 01:03,6,0,ELAUK,安徽
ip正确,2023-12-17 01:01,3,1,辨证机关枪（厕所游龙）,江苏
我一个高考文科240的，我也看不上文科，绝大部分读文科的，就是没有一技之长，至少我觉得和我同水平的文科生屁用没有,2023-12-17 00:48,5,1,宁做我,四川
幽默,2023-12-17 00:43,0,0,忠于原文,辽宁
文科对社会有用，对国家有用，对世界有用，唯独对普通老百姓来说是没用的，不如学理了[汗颜R],2023-12-17 00:38,12,1,寝台特急「はやぶさ」,黑龙江
我不觉得他说的有问题，因为国内不就三大产业，但他这个人很明显就是赚钱，他说的好专业也是现在好，现在扎堆报过几年扎堆出来的苦果只能自己咽，不过也没人在意这个,2023-12-17 00:36,1,1,汪汪棒棒顶咣咣,江苏
麻烦解释一下为什么科技发展生产力进步了，但是生产关系却越来越倒退？是理论的问题，还是能力的问题，还是人的问题？,2023-12-17 00:11,2,1,一支鱼,湖南
真傲慢,2023-12-16 23:59,2,0,阿多2233,黑龙江
这个民族受到的规训就是最好别有思辨的欲望，只用鼓掌就行了[doge]。张雪峰算个毛线，真是天真无邪。,2023-12-16 23:46,0,0,仙人掌,广东
陈寅恪：独立之精神，自由之思想。没有独立自由的思想，学再多哲学，也只为就业、赚钱，何谈服务于人类。这就是大部分中国大佬没有人文、科技追求的原因。百度、淘宝、京东做大做强后，追求的是什么，为什么难以成为伟大的企业！,2023-12-16 23:44,2,0,林先生,山东
哈哈哈天坑专业多垃圾，而且坑里的人还会自嘲，文科生属实玻璃心碎一地,2023-12-16 23:27,4,0,Spike,德国
你的发言，让人越来越确认他说的很对，忠言逆耳利于行……本来还有点犹豫，多谢你了,2023-12-16 23:27,8,0,七秒记忆的某🐟,德国
反对张雪峰的文科生大多都没毕业吧，但凡遭受过社会的毒打都会后悔没有好好学一门技能。。,2023-12-16 23:20,6,1,咖蓝,山东
但是错不在他...他只是说了出来,2023-12-16 22:57,4,0,鹅的养生版日记,安徽
口吻让人不适，高高在上的语气。虽然现实就是这样。比方说一个人穷，你可以跟他说，“你穷，已经很难改变了”，那没啥关系。但你说“你穷你活该、傻了吧迟早饿死”，你看看人家会不会激愤把你打死呢[捂脸R]就跟你朋友考试失败了，你会在他面前哈哈大笑？而且，这纯引起文理对立的话，互联网他可是玩的很明白的，你看，他的流量不就来了？,2023-12-16 22:52,6,1,白麈青崖,河北
中国三大基本产业，农业，工业，服务业。文科生最后可不就全都是服务业嘛，我理科生学医也算服务业啊，为啥都这么敏感[笑哭R],2023-12-16 22:49,5,0,泠然,黑龙江
最重要的是，每个人选择怎样的道路都取决于个人追求与现实需要，这没什么，毕竟每个人成长环境包括家庭背景都不一样，追求与爱好不一样很正常，但没必要出言讽刺或者说蔑视那些与你不同道路的人，六便士还是月亮，不同人甚至不同阶段 目标说不定都会发生变化 这俩都不丢脸，一个人只要明切目标就是很了不起的事了，所以 不需要踩一捧一去过多强调另一方面 本身文理这两者就都很重要，它们应该是相辅相成的，不是一者升一者死[笑哭R]而且就社会现实情况，哪怕说理科吃香，但也不是所有理科都可以，高考不行的有多少人呢，而文科也不是说完全无用武之地，毕竟做个账干点人事 很多地方都还是需要的,2023-12-16 22:47,2,1,Fratello,安徽
人想吃饱饭真的没错，你给他们画大饼就是你的不对了,2023-12-16 22:24,3,0,Fisher,澳大利亚
人活短短一辈子先为自己[微笑R][微笑R],2023-12-16 22:09,4,0,。,湖北
作为哲学专业正好又是做伦理的学生，我不同意张雪峰的观点但是觉得你讨论的维度过大以致于失去了现实意义。就算我们贬低（例如）伦理学，不妨碍国外的人比起ai本身的发展更关注ai伦理。谷歌就雇佣了很多做伦理的学者。公众，尤其是没有权力的底层公众是否贬低人文社科根本不重要，因为人文社科的中流砥柱往往不是从这个群体里面出来的[笑哭R]他们不学甚至贬低不代表我们gj或者说全世界就会失去所谓“精神家园”，也不代表人文社科就会“依附”理工科。【大众】对人文社科的态度一直都是一个只在某个地域无关紧要的社会的社会现象，其实根本撼动上层建筑，尤其是在这里。,2023-12-16 21:58,6,0,Askese,德国
觉得文科不好的，上不了台面的，你要不直接文字别用了，也别用文字跟别人沟通了，直接用你们引以为傲的公式，符号跟人沟通算了。,2023-12-16 21:56,0,1,河西Alce,上海
😅国外市场选择也没几个人念文科吧，文科博士毕业连国外大学的教职都拿不到，只能跟学校签临时合同，上完这个学期下学期就结束。理工科博士好歹能从研究员一步一步上去😅承认文科吃家底不适合普通人很难吗？国内有些文科研究我都懒得说，什么玩意儿啊都,2023-12-16 21:17,6,0,wowo,河南
这就像你的老板给你画大饼一样，空空如也,2023-12-16 21:12,5,0,师兄尽力了,山东
讲过于绝对的话的人 不是搞流量就是在搞流量得路上  到底文科好还是理科好 还是要看个人 总不能现在有工作的都是理科生吧,2023-12-16 21:08,1,0,淑兰,吉林
有的人就是打心眼里看不起你[失望R]借着这个合理化而已[失望R],2023-12-16 21:07,0,0,饮冰,山西
楼里有人明显不懂中国高校“文科”和“艺术”的强联系性[汗颜R]别的不说，艺术学理论这专业可是国家新设的重点，那么这个新专业的师资力量从哪里来呢？大部分都是文史哲的老教授和青椒啊[捂脸R][捂脸R]还“文科生碰瓷艺术生”，挑拨离间呢在这[汗颜R][汗颜R][汗颜R],2023-12-16 21:05,1,0,来虚圈造作啊,辽宁
梵高在评论区都要被骂画画卖不出去还谈理想 不去工厂当纺织工,2023-12-16 21:05,3,1,ㅤAshㅤ,上海
但是你有没有想过，张雪峰针对的群体是那些想通过自己的努力改变命运的人，而不是那些读书就业能靠父母的人。有父母当安全气垫你想去英国学魔法专业都无所谓[笑哭R]问题在于很多连生存问题都解决不了了，只能靠自己还要去赡养父母，小家都顾不上了还管什么大家，肯定有人会去研究人文社科的，但肯定不是我们普通的老百姓,2023-12-16 20:56,7,0,沉鳞。,意大利
既然这么多大谈社会理想和人类命运的，不如你们每个人把自己每年一半的收入都捐出去，帮助更多的人去追求社会理想，当他们结婚需要车房的时候你们来买，家人生病的时候医药费你们出，工资低不够生活的时候你们来补，孩子的教育，生活等费用你们来出，你们都是为了伟大的社会理想和人类命运而奋斗的人，想来这点小事你们应该会付诸实践吧？,2023-12-16 20:56,9,1,善恶,安徽
他有些话打破信息壁垒，仅此而已。我是艺术生，上次他讲艺术专业并不客观。很多话也不对！甚至在他眼里清华美院的都是不行的。八大美院除了那些毕业后出国深造的，基本上就业没有大问题。我是艺术专业知道这里的事情，我也是普通家庭的孩子。我爸妈都是工人阶级。在他视频下面说我对专业的客观评价。一群家长攻击我，也有理智的，私信询问我的。有些专业他确实理解的不那么深刻。可以参考，不能全信。还是要结合自己的实际情况思考，每个人情况不一样。不能全都听他的，要有筛选的听。,2023-12-16 20:54,0,0,柚子糖萌化了（备考中）,北京
支持张雪峰！,2023-12-16 20:46,1,0,安利都当避雷看，净化生活,湖北
都已经是连选专业都要问张雪峰的程度了，他直播受众就是对专业没有认知的人，这里面有几个人有条件有本事当思想家呢,2023-12-16 20:35,3,0,马上精通c++,天津
经济基础决定上层建筑,2023-12-16 20:17,1,0,Chen Lo,云南
[笑哭R]喜欢哲学人文社科又不是非得考这个专业,2023-12-16 20:07,7,1,热忱,浙江
哈哈哈评论区不会是都是社会科学大家吧，[偷笑R][偷笑R][偷笑R]，混吃等死的往自己脸上贴金,2023-12-16 20:05,3,1,三五一十五,英国
[微笑R]家里一穷二白的，你学个哲学？谁供你学？,2023-12-16 19:56,2,1,七月,陕西
"设想你和你高中同学一起从小山村里考出来，他高考还没你高呢，去了211读计算机，研究生毕业去了北上广深大厂，年薪拿到了50个。几年之后小有成就做了小组长，娶了个体制内的妻子，两人买了车房，把农村的爸妈接过来，逆天改命，未来可期。
你呢，你深明大义，怀揣着继承人类文明、延续人类火种的理想，去学了历史、哲学、考古、中文。毕业以后工作都找不到，简历石沉大海，差点错过应届生的身份。吭哧瘪肚考了个教资，回老家中学去教书，一个月赚的千八的[偷笑R]若干年后同学聚会，看着意气风发的同学，你当年的理想还剩多少？[偷笑R]学吧，不用听劝随便学，一学一个不吱声[偷笑R]",2023-12-16 19:45,12,1,潇潇潇潇一,北京
很支持作者的观点，我觉得张老老实实帮助那些有需要的人就行，完全没有必要大庭广众，站出来说这些话，产生的影响力我觉得会产生很大的误导，一方面我觉得他说的是一个普遍现象，但不能代表所有人，对于那些真正喜爱文科的人来说就是一种侮辱，我并不反对他说的一些事实，但是没必要对于一些专业如此抨击[微笑R]，不报就行了，用舔这个词着实让我觉得很不舒服，我虽然不是文科专业，不过就业可能也还不到哪里去，我们自己也会吐槽自己专业，但我觉得他这样说真的很过分，我觉得国家树立的方向是好的，但是不符合现实大家也都看的出来，张做好自己就行，给那些需要的人指点出路,2023-12-16 19:41,3,1,木木夕心不,湖北
我应该算是最普通的普通人吧，工程管理的专科、土木工程的本科，会计自考本科，后来去了一个普本读了个非全的硕。我个人是比较后悔没有升工程造价的，要我说在我现在的职业规划里，管理学对我的帮助是优于工学的,2023-12-16 19:25,1,0,小红薯655E976D,福建
[汗颜R]这就上升到民族兴衰了？没有人说文科存在没必要，张雪峰的视频你看过吗？他那些建议都是给家庭状况不优渥的孩子的，凡是有钱有权的人家的孩子，学什么不是王炸？,2023-12-16 19:21,7,0,Accept,山东
不是靠着科技强国的话你现在没有这这发表看法的能力,2023-12-16 19:18,2,0,Gotta,陕西
从宏观上来说 我不相信一个言论受到重度审查的地区的文科 能起到图上的作用,2023-12-16 19:14,1,1,momo,德国
张雪峰最后道歉了，“文科需要舔”这个论证在他向所有人道歉这一刻完成了闭环,2023-12-16 19:11,7,1,志当弘丶,辽宁
小红薯就差把鬼推给我了,2023-12-16 19:01,5,0,桂桂阿棠,云南
我这样说吧，不光文科毕业生要舔，理工科也得舔，根源就是老祖宗的文科生留下坚强的文化底层逻辑。      你说的文艺复兴艺术哲学啥再好，在我大清都搞不起来的，骨子里就是人吃人，人踩人,2023-12-16 18:53,7,1,小红薯65515DAE,陕西
懂了，说不过就删评，你们这些人也就这个水平了,2023-12-16 18:51,5,1,余念安,湖北
学文学没错，但是那是在没外部不利因素的条件下（大家都有环境美好生活）吧，那么多人全耍笔杆耍嘴皮子，能变出什么粮食或者产业吗？更别说外面还有欧洲日本美国虎视眈眈等着搞你，你搞文有啥用呢[微笑R],2023-12-16 18:38,0,0,KKK,奥地利
人家在给普通家庭的孩子做报考专业指导，你在这说探究人性深幽，你让千千万大山里吃不饱的孩子去探究人性深幽？何不食肉糜？这就是文科的逻辑？,2023-12-16 18:38,14,1,小红薯63118A3C,上海
因为文科专业≠人文社科，所以人文社科绝对有用，但绝大部分人学了文科专业，却和“人文社科”没太大关系，这一点其实理工科也有，但社科类尤甚。,2023-12-16 18:25,0,0,结冰的纯净,重庆
张雪峰是对的，张献忠也是对的,2023-12-16 18:22,1,0,yy领先,中国台湾
其实没什么。他也就是习惯了站在赚钱的立场。毕竟去找张雪峰的那都是想看怎么赚钱的，是为了信息差去找张雪峰，而不是为了听一番高大上的教诲。他也知道这一点才这么说。除了信息差，别的东西张雪峰又没优势，听众应自己清楚，谁会听他的。其实张雪峰应该在直播间挂个“所说建议只考虑功名利禄”，不就解决了。,2023-12-16 18:15,3,0,穿梭,江苏
他说这话本来就是给那些出不了国的出生贫寒迫切需要生存的孩子们听的，看明白就行，也没必要倒打一耙高高在上何不食肉糜。,2023-12-16 18:09,11,0,momo,安徽
说得这么高尚，把你赚到的钱一半拿去资助那些贫苦孩子去，他们想选一个好就业的行业赚钱养自己和家人怎么了,2023-12-16 18:05,14,1,momo,浙江
都去学文了谁来搞中国制造2025,2023-12-16 18:03,2,1,。。。,重庆
不论文理，大部分人学习就只是为了用而已，理科学会就能上手，用处明显一点。普通人学习的程度还没到能决定文理怎样呢，找到适合自己的，好好学然后用好就行了，不必要指责他人吧！张雪峰最让我感到不适的就是莫名其妙的“优越感”和给人贴上一个个“标签”，我们这些因为热爱选择文科的人直接被一棒子打死[微笑R][微笑R][微笑R],2023-12-16 17:54,9,1,嘬墩专用号,天津
我历史高中是我们班第一名，文科总成绩第5，但光速转理。文科有一个特点，就是社会价值与个人价值很难立即体现出来。但是人没有这些正面反馈是很难受的。所以会有大量的人文理念诞生，作为一个支撑点让文科学子坚持下去。例如为了社会，哲学，美等等方面。但是这个过程中会让人陷入短暂的自我满足。如果走不出来，那么就会成为一张虚伪的面具，掩盖了自己其实是胸无点墨的事实。实际上很好判断，就是看失业率。你或许说什么人文主义，自由精神。但是社会是没有意识的，社会只反映事实。,2023-12-16 17:35,4,1,布拉格之春,山西
觉得你说的挺好的～我觉得张他就是个商人，本来就不是老师，他的言语真的挺极端和夸张，我不相信人家不能更客观专业的表达自己的看法，用的词语真的很贬低，我觉得他可能就是这个目的，让大家讨论他才有流量,2023-12-16 17:34,0,0,两个,安徽
他只是不想让家境贫寒的学生们体会那种累死累活学完发现找不到工作，或者工作干得再出色也不如有钱有势的人收货的多的情况呗。但凡家里有一点家底，父母有一点见识，都可以通过父母的认知和人脉把以后的路安排好了，根本不用听他的。同理那些报志愿的时候没人可以商量的学生，听一听他的话可以避免70%的坑。,2023-12-16 17:29,6,0,月光月月,辽宁
当你开始争论的时候他就已经赢了，他知道作为一个公众人物说出来的话都是有怎么样的影响力，但是他还是说了，真的喜欢蹭，无论你是支持还是反驳一点不影响人家收票子，他说的对又如何错又如何，能改变什么？只能说互联网被他玩明白了[doge],2023-12-16 17:12,4,0,超,江苏
我印象文科生一般在公司工作,2023-12-16 17:06,1,1,电荷的成长史,河南
谎言不会伤人 真话才会[笑哭R],2023-12-16 17:05,8,0,小红薯63058964,北京
你越说越证明他说的对,2023-12-16 17:04,5,0,让我再眯会吧（一根毛版）,黑龙江
人家在聊工作你跟他聊理想[偷笑R][偷笑R][偷笑R]招文科生的老板都是你这么画饼的,2023-12-16 16:33,5,0,近战法师蓝毒兽,山东
没有人否定文科的价值，但是社会环境不允许它发展啊。本来是相辅相成的，但是大环境导致追寻人文主义没有饭吃。归根到底还是没办法的事儿[失望R]，谁不喜欢人文啊[失望R]。但是这种物质和精神的二元对立让人没办法选择[失望R]，目前无解。只能靠一部分家境优渥的去追寻了和靠一部分意志坚定的人去实现了。,2023-12-16 16:31,2,0,momo,陕西
现有现象，再有本质，你所谓的伦理不也是出现了AI之类的现象之后才讨论的吗？以及，你说的高层级的部分，有多少人愿意了解和学习呢，你是老师，是博士，你有这么深切的体会，你觉得是为整个人类服务的。对于大多数人而言，他们只是想吃饱饭～,2023-12-16 16:25,2,0,马尔可夫链式的生活,陕西
文科生并不是每天听听音乐艺术哦，我每天替贫困对象链接保险，给残障人士联系机械所，大量的项目书也得写。,2023-12-16 16:24,2,0,向阳而生,内蒙古
原来楼主是博导，百万漕工衣食所系，理解了,2023-12-16 16:20,3,0,Kirk,荷兰
惹到文科生了，是这样的，文科很多时候看不起进厂和干工地的工科生的，文科追求的就是那种办公室工作，办公室工作笑死，还不就是tian,2023-12-16 16:08,6,0,🍪,广东
无题,2023-12-16 16:07,0,1,名字想半天,上海
从经常刷到的高校的拨款看，目前国家的扶持战略也是理工科大于文科[石化R]这种现状暂时是无法改变的。,2023-12-16 16:05,3,0,十六,上海
只能说破防[偷笑R],2023-12-16 16:00,1,0,不知名铂睿,湖北
评论区让我大开眼界，也更证实了一些想法。由于还要工作，以一对多辩论多了实在耗费，这个话题我不再多说啥了。大家各自保留观点，愿意对里面半句话觉得有启发的我很高兴。愿意觉得文科都是狗屁我那些话也是狗屁，这个意思我也收到了。愿意觉得我逃了那你也是对的，我说的够多了，累。大家各自珍重，张雪峰万岁🙏,2023-12-16 15:58,0,0,名字想半天,上海
国家的体制和意识形态导致我们的文科不会有太大发展。张雪峰是个很务实的老师，咱们小老百姓也没啥大追求，有吃有喝有房住，听听他的话还是很有用的。,2023-12-16 15:57,6,0,人生指楠针,河北
国家不久前刚讲过未来五到十年教育方向是培养更多的工科人才你是一点没看啊,2023-12-16 15:47,4,0,小王不拍照了,辽宁
国家不久前刚讲过未来五到十年教育方向是培养更多的工科人才你是一点没看啊,2023-12-16 15:47,0,1,小王不拍照了,辽宁
假大空，照这么说理科高级的部分研究的才是宇宙的真理，是指引文明走出星球的根基,2023-12-16 15:47,3,0,灵灵,山东
然后呢？谈理想能让我吃饱饭吗[微笑R] 能让我还的清房贷吗 你知道普通院校毕业的文科生就业有多难吗 双非的普通家庭学生读那些金融 语言 哲学 各种管理 出来能就业吗？到底是谁自私啊？,2023-12-16 15:43,4,0,小王不拍照了,辽宁
这次事件倒是炸出了一些文科从业者目空一切、目中无人、对现在就业市场下的普通家庭学生毫无同情心和同理心的精神状态，以及想骂人都找不到真正的靶子、只是对着自己看不惯的所有东西一起扫射的糟糕视野。如果这就是文科教育的产物（幸好不是），那这正好说明张雪峰说的没有错。如果视野中只有虚无缥缈和空中楼阁、但连具体的人都看不到（甚至都不一定承认这些人是人）的话，那也实在是无话可说。当然了，这相当于以另一种形式宣称“我所说的话对你毫无意义”。,2023-12-16 15:43,10,1,Kirk,荷兰
艺术和人文往往高于人类的思维认知和思想枷锁，米开朗基罗《创造亚当》早已给出了答案，以人为本，是几百年前文艺复兴就告诉人的道理。科学起源于哲学，只不过在国内很少有人思考哲学与科学的关系，真正引领科学的，恰恰是人文的思考与批判。正如高迪的设计精神一样，人与自然是和和谐的，崇高的理想永远站在物质之上,2023-12-16 15:31,0,0,秋赋,安徽
至于那种说什么文科都是理科选剩下的人，都是不够好的人不得已读文科，我真替你羞愧，更替理科的人着急竟然出这种思路的人来代表，丢脸。心理学早已确立多元智能理论，数理及相关的计算能力只是其中一元，另外的语言，音乐，空间感，运动，都是人的方向。通常每个人只能有一到两个天赋维度。数理好点应试好点就自鸣得意居高临下了，恰恰是人文教育被忽略的可悲。,2023-12-16 15:25,1,0,名字想半天,上海
我觉得张雪峰不是说得不对，而是说得让人不讨喜。他明明可以用更好听的方式说，但偏偏选择了居高临下打量加鄙视的口吻，不光是爹，我感觉他是上帝的爹。,2023-12-16 15:21,34,1,什么都不缺就缺觉,江苏
有些人有个非常有意思的逻辑，说文科的人你就自己干不要再拉人培养后辈了，他们要好的生活。然后当说到钱学森邓稼先他们为了自己理想付出一切，放弃很多去过苦日子，又是各种赞颂。如果都那么极度现实极度看眼下，有中国的进步？,2023-12-16 15:18,0,1,名字想半天,上海
终于知道“敌在文宣”的吐槽怎么来的了…张雪峰真的很喜欢故意夸大抖机灵，文科就业难是事实但难道不应该想办法改善就业环境吗？为什么变成了“你学这个就业难那你就别学这个”甚至“你学的专业就应该消失”呢？本来中国文化就被日韩美等国家各种打压/剽窃/歧视，我们自己内部真的别着急唱衰文科专业了。合理调配才是正路，而不是一刀切和自我矮化丑化。说到底这应该由国家宏观政策出力调控而不是民众互相攻击鄙视吧[捂脸R],2023-12-16 14:40,53,1,来虚圈造作啊,辽宁
文科需要真正的高精尖，而大部分都是普通人，[doge],2023-12-16 14:02,6,1,bzlehri,山西
除了你好像也没几个说他说错了。不知道为什么文科生总要去碰瓷艺术生[失望R][失望R],2023-12-16 13:40,15,1,信三成,重庆
人家说的是文科就业质量差是客观事实，你说没有文科会陷入战争是偷换概念，你这逻辑也有问题啊,2023-12-16 13:38,8,1,看完五月天开始emo版（,上海
不是，你们文科生不是使劲学历史吗？中国探究了几千年人性深幽，最后还不是在近代被锤爆？,2023-12-16 13:17,4,1,还是摔的轻了,北京
张雪峰的力量真是大啊。不得已写这么多，都还没提到更特殊的音乐美术等艺术和文学，这是人类超然于自然的精神自留地。纯粹的文学艺术家更不用服务于某种现实需求，他们是最独立探索精神世界的人，更与科学家没有丝毫地位差别。人类顶级科学家大多极尊重艺术和哲学。说到底，一个人一个民族如果对音乐美术嗤之以鼻，对哲学社会和政治毫无兴趣，这是怎样一个人一个民族？我们古老的文明更从不是这样。差不多了，张雪峰进行这么大的羞辱以及背后真实的认知偏差还说不得，累。,2023-12-16 11:31,1,0,名字想半天,上海
总地说，人文社科一定要有独立性，与科学的平等性，才能作为人类自身精神世界的底线，去协调与外在自然的关系。它不是为了科技然后去帮忙服务，为了帮科技无限发展然后屁颠颠做后勤，而是行为上可以服务科技，但精神和人格必须独立，冷眼审视技术的社会影响，尽量避免原子弹级别的毁灭性种子再多几个。,2023-12-16 11:24,0,0,名字想半天,上海
从近现代看，科学家主要负责探索客观，他没空多去想人性社会要怎样，哪怕探索到疯狂，这也是一种魅力。但背后社会的影响，人的行为和认知变化，是要人文社科去预警和调整的。很早就有疯狂科学家Frankenstein这个形象，得到世人认可，背后是真实的问题。当年的克隆羊到克隆人的叫停，近年基因编辑胎儿，再到未来AI技术失控的不确定性，离不开伦理和哲学的思辨，再通过法律引导。,2023-12-16 11:19,1,1,名字想半天,上海
得罪了一些理工拥趸有些意外。主要张说舔这种羞辱的话，以及里面藏着的副属地位，羞辱大而误导性又很隐藏。人类社会最早期@技术发展慢，是文科探索社会秩序，逐渐给科技爆发铺平道路。早期先贤从苏格拉底，亚里士多德到达芬奇，我国的孔孟墨子，都是兼有实验探索世界更有人文思考。欧洲的文艺复兴为工业革命奠定基础。,2023-12-16 11:12,0,0,名字想半天,上海
只能看到急了[doge],2023-12-16 10:27,4,1,失去弟弟的日子,江苏
为什么大家的讨论如此跑偏？张这次的问题不在表达了“文科是服务业”这个观点，他想表达的也不是这个。语言不只传递信息，更重要的是传递情绪。他的问题在于他后面说的“就是舔～爷我给你笑一个呀～”的时候，事实上他是在模仿他想像中的读了文科的人的工作状态，因此他事实上表达的观点是：“读完文科出来的人，都像我模仿的一样，以这样嬉皮笑脸地，带着夹子音地，用巴结和阿谀奉承的舔狗姿态在职场上工作。”所以他事实上是在嘲笑，贬低和污名化读文科的人，而不是针对文科是不是服务业这件事。所以他当然大错特错，错在他没有对他人的基本尊重，错在丑化读文科的人。别人只是正正当当地读了文科正正经经工作，他有什么资格丑化别人？,2023-12-16 09:21,11,1,怎样直接跳过40度夏天,广东
你这标题就挺没逻辑的,2023-12-16 03:37,3,1,拿头有用,美国
断章取义[汗颜R][汗颜R],2023-12-15 22:20,6,1,Windy,辽宁
你用自己证明了张雪峰说的确实没错，干巴巴的文章全是空谈，果然百无一用是书生,2023-12-16 16:37,339,1,后皇嘉树,北京
没必要跟他们张雪峰的粉丝辩论 真的浪费时间 他们眼里只有钱，从小就没见过钱。你跟他们谈理想，人家跟你谈钱。根本不在一个维度上,2023-12-16 11:20,118,1,🍂,美国
