#新闻学教授怒怼张雪峰#,Query time: 2023-12-24 15:12:51,likes
报啥都行，月亮与六便士罢了。 ,2023-06-16 22:34,0
新闻理想太浓厚太纯正的人真的建议别报 ,2023-06-16 22:33,0
我们能学什么，我们能报什么……法学不行，新闻学不行，又有人说金融不行，到底学什么啊 ,2023-06-16 22:33,0
纯纯一个何不食肉糜？ ,2023-06-16 22:31,0
真话总是难听的，当时班里40个人，就剩几个人没参加公务员考试。 ,2023-06-16 22:26,0
所以我张雪峰老师是教啥的  我也没看懂 ,2023-06-16 22:25,0
新闻学教授？呵呵呵呵 ,2023-06-16 22:24,0
怼得亳无说服力，反而进一步证明了张雪峰说的有道理。 ,2023-06-16 22:23,0
主流媒体的确还在，但是体量跟之前对比差很多了。而全国新闻传播专业的学生数还是按照之前的规模，所以非顶部学校的学生毕业的确难找工作。 我比较喜欢张雪峰，他从农村考出来的比较实际，更关注就业，知道我们这类普通人如何利益化赚钱养家。 ,2023-06-16 22:23,0
传媒类毕业找工作有多难现身说法 ,2023-06-16 22:21,0
你们新闻传媒业现在到底什么样，自己心里硬是一点笔数没有是吧？ 一群毫无节操，为了流量可以连妈都不要，甚至可以捅自己国家和百姓刀子的狗罢了。 真是挨个枪毙都找不出几个错杀的。 ,2023-06-16 22:17,0
我很庆幸选了文科 ,2023-06-16 22:17,0
张雪峰怎么了，怼人家干嘛，教授已经跟普通老百姓不是一个层次了，教授过于理想主义不够接地气，人家张雪峰为老百姓考虑为大家规划未来我觉得挺好的。要是早几十年有他多好！ ,2023-06-16 22:15,3
张雪峰说得对 ,2023-06-16 22:15,0
这事，我提供一个新角度。  怼学经济的，怼经济学家的，社会蔚然成风。  搞经济的，还过嘴吗？  任由人笑骂。一是道不同不可语，二是忙着赚钱不香吗？  张薇事件，可以看见媒体人搞独立王国，把持话语权，这是实实在在的。 ,2023-06-16 22:13,0
他要的是知名度，经常讲一些模凌两可的。教育界能把握好度吗 ？教育可是国家基本啊！ ,2023-06-16 22:11,0
... 难道不是社会的问题吗? ,2023-06-16 22:10,0
这个教授是让那些特别突出的人有出路，一般人还是听从张雪峰的吧。不是一个出路，毕竟不是每个人都能保送清华，北大这样。 ,2023-06-16 22:09,0
其实我更想说另外几个问题，例如，除了把张雪峰的内容当脱口秀和相声看的人之外，视他为正真有价值的受众是哪些人？这么说吧，有几个中产家庭需要张雪峰来指导如何填报高考志愿？他们中大多数人的见识、经验、阅历至少知道怎样的专业选择适合小孩，知道如何避免跳坑。例如家长 其实我更想说另外几个问题，例如，除了把张雪峰的内容当脱口秀和相声看的人之外，视他为正真有价值的受众是哪些人？这么说吧，有几个中产家庭需要张雪峰来指导如何填报高考志愿？他们中大多数人的见识、经验、阅历至少知道怎样的专业选择适合小孩，知道如何避免跳坑。例如家长中有一人是资深媒体人，需要你告诉我报不报新闻专业？父母是医生，需要你告诉我要不要学医？普通家庭，父母和小孩未来感到迷茫，没人给他们建议，那就会听信张雪峰之流。从这个角度说，他建议普通人家的孩子不要学新闻也不是完全没道理。但问题有3个：1、如果都听他的，都去学计算机、法学、会计等在就业市场上相当硬气的专业，尤其是让那些本来想去学比如基础学科、新闻乃至冷门专业的学生去蹭热门，别的学科的未来在哪里？2、每个人都适合学计算机吗？都适合法学吗？学不下去退学了怎么办？如果一个小孩学哲学未来成为大家，但做律师就是个一年赚百万的律师，这怎么算？对，我就是觉得大哲学家比赚的盆满钵满的律师牛逼。3、作为公众人物，以赤裸裸的功利主义价值观为依托，为年轻人规划职业发展，是否合适？他说他是为了普通家庭孩子未来能吃上饭，这话不能完全否认，但有点煽情，感觉自己在济世，是个精明的广告。,2023-06-16 22:08,2
“快嘴”张雪峰遭遇直接回怼，发文回应：不针对任何人、任何专业，只是根据就业情况给建议。6月16日，“快嘴”张雪峰发文就自己此前的一段言论被某大学教授回怼一事进行回应。事发原因是其之前在某网络直播时谈到：孩子在高考时非要报新闻学，如果自己是家长，一定 “快嘴”张雪峰遭遇直接回怼，发文回应：不针对任何人、任何专业，只是根据就业情况给建议。6月16日，“快嘴”张雪峰发文就自己此前的一段言论被某大学教授回怼一事进行回应。事发原因是其之前在某网络直播时谈到：孩子在高考时非要报新闻学，如果自己是家长，一定会把他打“晕”；后来他还谈到：985教传播的教授粉丝量还不如他，是不是有点问题？没有想到，他的这些说法，随即引发广泛热议，特别是某大学新闻传播学教授直接对其给予回怼，称“你害人不浅、误导公众，我要把你打晕！”虽然是一个玩笑回怼而已，但从中也的确反映出一定的的问题，孩子高考选择专业到底是从自己喜欢、还是从应对就业来考虑。当然，张雪峰的说法也不无道理，对于多数普通家庭的孩子而言，选择适合自己的，选择能让自己吃上饭的，这也是比较实际的。而某大学教授也提到：新闻学的毕业生是能文能武，主流媒体首先是一个能吸纳就业的行业。同时，还可以进可以自主创业、选择互联网行业、考公、国有企业等，就业前景也不错。对于二位的说法，大家也可以在选择高校专业时做一下参考吧，无论怎么说，建议还是尽量选择适合自己的,2023-06-16 22:08,0
哈，我很好奇我们的新闻传播学专业都教出了些什么人，说人张雪峰吃着新媒体的饭，砸新闻传播的锅，我就问了，我们那么多吃着国家给的饭，砸国家的锅的新闻人怎么说？他们都是哪儿来的？谁教的？ ,2023-06-16 22:08,0
本新闻学就支持张雪峰，听张雪峰没有错。新闻学门槛如此之低，选新闻学还不如选汉语言，人家汉语言考公一大堆岗位，你新闻学算个der。我选了这个专业真的误了我的终身。 ,2023-06-16 22:07,16
本23届新传类毕业生认为 这个教授说的有一点蛮对的 不是专业不好 是读了双非院校的新传专业不好 ,2023-06-16 22:04,0
所以你看，你毕业生有几个是从事本专业的重点都没搞清楚就出来怼人了 ,2023-06-16 22:03,0
张老师就是说了实话而已。张老师从就业的角度，给家长建议而已。 ,2023-06-16 22:01,1
现在的新闻学嘛……一言难尽，就业好么？ ,2023-06-16 21:57,0
确实不能理解新传专业对社会发展的意义在哪 ,2023-06-16 21:56,0
直觉告诉我这个教授不是好东西 ,2023-06-16 21:55,0
悲哀地点进这个这个话题 悲哀地点出来 如果这些人现在都看不到这个地方有什么问题的话 我宣布我们完蛋了（或许我们早就完蛋了） ,2023-06-16 21:54,0
张雪峰说得很对啊，这位“叫兽”要不要看看有多少媒体吃人血馒头的？？？ ,2023-06-16 21:53,0
怒怼到自己删账号，我还想去看看说了啥呢，结果用户不存在？ ,2023-06-16 21:52,0
爱国如付国豪，在这个圈子里的结局如何？ ,2023-06-16 21:52,0
着实没想到这件事会发展到这个地步 对于本科是公共事业管理专业的我来说 新传挺好的 有趣且就业范围较广 ,2023-06-16 21:52,0
张老师，其实相当于一个销售…… ,2023-06-16 21:51,2
着实没想到这件事会发展到这个地步 对于本科是公共事业管理专业的我来说 新传挺好的 有趣且就业范围较广 ,2023-06-16 21:50,0
你会发现，任何可以以小博大、动动嘴皮子就可以掀起腥风血雨的行业都是剪男布女居多——金融圈、娱乐圈也同理。所以这几个圈子八卦多、口舌之争多。普通人（核心剪女石男）不选这几个专业其实是对的。 ,2023-06-16 21:49,8
被气到应激了的教授笑xi了 ,2023-06-16 21:49,0
我觉得更应该打晕俺们这群学基础数学的，实话实说，除了当老师外，真心找不到啥对口的工作,2023-06-16 21:45,0
话糙理不糙，用在普遍性的意义上，是有说服力的。不是不能报新传，但确实要尽最大的努力锚定名校，如果说这就是卷，那也是无奈。 ,2023-06-16 21:45,0
骂吧，吵吧，反正没人会管新闻生的死活 ,2023-06-16 21:44,2
我自己辅修了新闻学！张老师只不过是说了实话而已！还好我当时只是有点兴趣，没有把这个当成我的主专业！不然惨了！ ,2023-06-16 21:44,0
真正的问题是，在全产业饱和的前提下，好工作和选了啥专业是没啥太大关系的，因为我们所有专业的人都严重过剩。人菜，选啥专业都完蛋，因为全饱和的前提下不会给菜人任何机会，菜就被淘汰。人不菜，专业是啥都没关系。现在有一种误区，把本科毕业后一年内就业率高的专业称为好 真正的问题是，在全产业饱和的前提下，好工作和选了啥专业是没啥太大关系的，因为我们所有专业的人都严重过剩。人菜，选啥专业都完蛋，因为全饱和的前提下不会给菜人任何机会，菜就被淘汰。人不菜，专业是啥都没关系。现在有一种误区，把本科毕业后一年内就业率高的专业称为好专业，殊不知这种专业大部分人干不了五年也得失业，因为这种专业往往就是脑力劳动体力化的专业，用的就是你那几年，用完了你就送外卖去了。所以人一定要有个清晰的认知，那就是自己找工作不太行的根本原因是菜。因为专业套利的时代早就结束了。对于菜的人，学新闻和计算机的归宿都是送外卖开滴滴，但是学新闻至少人家大学还能少掉点头发,2023-06-16 21:43,0
实在话，我们这个行业确实在逐渐消失，尤其是就业在消失。也许以后会以另外一种模式存在。但是现在大学里学的一些新闻理论，我觉得就我当年学的那些理论是有效的。可惜传播模式变了 ,2023-06-16 21:42,0
这帮孙子居庙堂之高，根本不知道底层人民多么的水深火热，天天不切实际唱高调，唱赞歌，缺德玩意 ,2023-06-16 21:40,3
骗哥们可以，别骗自己。哥们被你骗了真无所谓的，打个哈哈就过了。但希望你打完这段话后擦一下眼角，别让眼泪掉在手机屏幕上了就行。你说的这些话，哥们信一下也是没什么的。还能让你有个心里安慰，但这种话说出来骗骗兄弟就差不多得了，哥们信你一下也不会少块肉，但是你别搞 骗哥们可以，别骗自己。哥们被你骗了真无所谓的，打个哈哈就过了。但希望你打完这段话后擦一下眼角，别让眼泪掉在手机屏幕上了就行。你说的这些话，哥们信一下也是没什么的。还能让你有个心里安慰，但这种话说出来骗骗兄弟就差不多得了，哥们信你一下也不会少块肉，但是你别搞得自己也当真了就行。,2023-06-16 21:40,0
有些话是张口就来，真敢胡说八道🤬 ,2023-06-16 21:38,0
大家都选能吃上饭的，就都吃不上饭了。弱弱地问一句，现在还有哪个专业能肯定能吃得上饭的？张老师总是推荐的计算机专业？教人变成一群精致的利己主义者，年纪轻轻就变得世 大家都选能吃上饭的，就都吃不上饭了。弱弱地问一句，现在还有哪个专业能肯定能吃得上饭的？张老师总是推荐的计算机专业？教人变成一群精致的利己主义者，年纪轻轻就变得世故圆滑，就抛弃了理想。别说支撑理想需要物质基础，做什么事都会有成本，有的成本是金钱，有的成本是心力。做一件自己不喜欢的事，永远不会有大出息，活着还累。做自己喜欢的事，做出成就的几率远大于做不喜欢的事，而且心里也不会累。所以真正的专业选择建议，是根据每个人的兴趣爱好，同时告诉他这个专业未来深入学习会如何，是否会放弃。弄清楚孩子是因为不了解这个专业而喜欢这个专业还是自己已经对这个专业有足够的了解。把这些都说明白了，结合家庭条件，让孩子自己选择。哪怕错，也有重新选择的机会。但为了生存选择一个不喜欢的专业，100%一定错。,2023-06-16 21:36,2
现在的新闻传媒专业也好意思吗？一个个的为了流量啥都干得出来，职业道德早没了 ,2023-06-16 21:33,0
要不是我本科学的这个专业我就信了 ,2023-06-16 21:33,0
新闻学到底是个什么样子，自己不清楚吗？还出来忽悠孩子们！什么垃圾！ ,2023-06-16 21:31,0
张雪峰真的是啥都敢说不知不觉就会得罪一些吧 ,2023-06-16 21:30,1
这个教授厉害了，举了几个研究生例子但是我只想知道没考上研究生的大多数人都干什么去了 ,2023-06-16 21:30,0
【：他自己吃着传播的饭，却在砸着传播的祸！张雪峰也回应了！】引热议，16日中午，重庆大学新闻传播学教授张小强再发文称，这个时代比任何时候都重视传播，但也比任何时候都轻视“新闻”。新闻专业唯有和 【：他自己吃着传播的饭，却在砸着传播的祸！张雪峰也回应了！】引热议，16日中午，重庆大学新闻传播学教授张小强再发文称，这个时代比任何时候都重视传播，但也比任何时候都轻视“新闻”。新闻专业唯有和“新闻”“媒体”解绑，才能放开手脚为社会培养传播人才。“张雪峰本人从事的就是新闻专业毕业生要干的领域啊，他自己吃着传播的饭，却在砸着传播的祸，何其荒谬！”16日也发文回应称，选专业就要选适合自己的，能让自己吃上饭的！而不是照本宣科，不考虑实际情况。我只是根据就业情况给建议，孩子找不到工作负责的不是你老师，而是你爸你妈跟自己。,2023-06-16 21:29,0
张教授说新闻学能文能武指的是文能提笔小作文，武能地铁诬陷人？ 奇怪，四川大学还没回应怎么处理的？ ,2023-06-16 21:27,1
不懂新闻的意义就去学新闻，敏感善良者一定会抑郁的。 ,2023-06-16 21:26,0
孩子报英专我给他打晕 ,2023-06-16 21:24,0
【】任何专业都有其存在的必要，爆红式“成功”不能灌输给大众，一个人一条路，现代社会压力大、节奏快、追求个性化，选择自己喜欢专业并从事它，对错与否都是自己选择的承担，明确知道自己要什么，多经历生活种种，才是个人成功。而这教授只讲 【】任何专业都有其存在的必要，爆红式“成功”不能灌输给大众，一个人一条路，现代社会压力大、节奏快、追求个性化，选择自己喜欢专业并从事它，对错与否都是自己选择的承担，明确知道自己要什么，多经历生活种种，才是个人成功。而这教授只讲就业和自己院校“优越”，似乎也落了下乘，教授所教的绝不仅仅是学业，授业很主要，但对于新闻传媒人来说，以身作则，教授讲事实、明道理更重要。,2023-06-16 21:22,0
就新闻这个教授的水平，真实印证了新闻传播无学术的传说。张都不是新闻专业吃着新闻的饭，别人不学新闻也可以吃新闻的饭。 ,2023-06-16 21:21,0
根据自己的兴趣来填报专业，而不是看“就业潜力”。我们必须找到自己安身立命的东西。安身立命，这个词看上去很空洞很高远，但它确实说到了本质：人的工作，除了挣钱和兴趣，还应该包括“让你成为你”的那种本质性的追求。根据自己的兴趣来填报专业，而不是看“就业潜力”。我们必须找到自己安身立命的东西。安身立命，这个词看上去很空洞很高远，但它确实说到了本质：人的工作，除了挣钱和兴趣，还应该包括“让你成为你”的那种本质性的追求。,2023-06-16 21:21,6
四川大学不是985，211吗他前几天保研的那个新闻学研究生不是好好的展示了一下教育成果吗咱就说自主创业和考公务员这两样全国只要是个大学的学生都能做这两样，不是新闻学的专属，目前的新闻传媒环境颠倒是非，唯流量论的风气可不咋滴 ,2023-06-16 21:18,0
断人财路如杀父母，这点我是支持张雪峰的，新闻学专业培养了太多的反贼，配合西方搞渗透和意识形态颠覆，甚至说这个专业本科阶段可以废除掉，学中文就足够了。 ,2023-06-16 21:18,0
什么玩意，巴拉巴拉说了一大堆，还是张雪峰靠谱 ,2023-06-16 21:17,0
哈哈 我是这专业的 当年炙手可热 现在想找个好工作可太难了 只能说 现在这种社会环境 舆论环境 就业环境 快逃姐的新闻理想在工作的第几年破灭的来着？emm… ,2023-06-16 21:17,0
新闻学教授的传播实力很强，这位重大的老师快速拿下热搜，无疑是非常懂传播的，至少促成重庆大学新闻学院的影响力提升几个台阶。我也认为新闻类专业必须跳出传统媒体的认知，而是要走向新媒体、大传播，着眼于培养各类营销传播人才，这个始终是社会与产业刚需。我认为，具 新闻学教授的传播实力很强，这位重大的老师快速拿下热搜，无疑是非常懂传播的，至少促成重庆大学新闻学院的影响力提升几个台阶。我也认为新闻类专业必须跳出传统媒体的认知，而是要走向新媒体、大传播，着眼于培养各类营销传播人才，这个始终是社会与产业刚需。我认为，具备了传播的实战能力，就可获得广阔的成长空间。,2023-06-16 21:15,0
不让人说实话了？ ,2023-06-16 21:14,0
虽然……但是…… ,2023-06-16 21:13,1
一直觉得zxf有点sb ,2023-06-16 21:12,0
你们提个建议就好了，我想学什么专业用你们操心，就这点事吵吵吵有意思吗！ ,2023-06-16 21:10,0
为啥文科专业老师老爱说文科专业中的理科，这种说法不就证明你的认知里还是理科比文科好哇 ,2023-06-16 21:07,0
张小强账号是没了吗？搜不到，这么快就跑路了吗？ ,2023-06-16 21:07,0
这边谈就业，那边讲科研，学生都没有干自己专业的，都转行干别的，那还说这专业好？ ,2023-06-16 21:06,0
单看一句不服比科研，忍不住笑了出来，周五下午的欢乐一刻。 ,2023-06-16 21:06,0
偶们新闻学没惹。。。 ,2023-06-16 21:06,0
普通二本新闻学学生，大学四年真的感觉没学到啥，啥也学了，什么也学的不精，学校设备跟不上，师资力量也不行，就业率倒数，最后又有几个人从事相关行业呢 ,2023-06-16 21:04,0
其实呢，这两个人的话就像小学课本里的小马过河，一个说水浅，没问题，一个说水深，注意安全！那么对于年轻学子而言，就要根据实际情况自我判断，除了用心，也要用眼睛，多思考，多了解。去做值得的事，能够乐在其中的事，总之，不要辜负青春、辜负自己，做个说真话，真实面对 其实呢，这两个人的话就像小学课本里的小马过河，一个说水浅，没问题，一个说水深，注意安全！那么对于年轻学子而言，就要根据实际情况自我判断，除了用心，也要用眼睛，多思考，多了解。去做值得的事，能够乐在其中的事，总之，不要辜负青春、辜负自己，做个说真话，真实面对世界和自我的人。,2023-06-16 21:03,0
别报新传 ,2023-06-16 21:01,0
这发言令人无语  可见教授同志脱离现实许久了,2023-06-16 21:00,3
做了一辈子新闻的我，支持张雪峰！,2023-06-16 21:00,1
在询问了学新传的同学后，他们普遍反映：新闻学不存在了 ,2023-06-16 21:00,1
张雪峰的观点适用于大部分普通家庭出身的孩子，如果你家境好不考虑生存，你可以当他是放屁 ,2023-06-16 20:58,0
看看张薇，我觉得张雪峰说的对 ,2023-06-16 20:58,0
竟然不是某川的叫兽 ,2023-06-16 20:56,0
一定一定要听张海峰的！ ,2023-06-16 20:56,0
“退可当公务员”太典了 ,2023-06-16 20:55,1
这个985的教授看来也是一个水货，学生能够进大厂考公，那是因为985学生自身的素质高，跟学你新闻学有啥毛关系，都已经不做本专业了，恰恰说明连985学校设置新闻学专业都是一种浪费。 ,2023-06-16 20:54,0
新闻不是瞎编、抓流量不就行了吗？ 练写作不如选人家汉语言文学 ,2023-06-16 20:53,0
可是新传真的很难就业，全凭一腔热血、新闻理想… ,2023-06-16 20:53,0
首先，什么时候一个大学专业需要用普通人和有钱人进行区别？如果所有普通人不能学习新闻学，从事新闻学，那么谁将为他们的权利发声？那么话语权都应该统一在有钱人的手里？其次，文科类专业哪一个好从事工作，为什么偏偏将矛头指向新闻学？考研分数线教育类师范类，新闻与传播 首先，什么时候一个大学专业需要用普通人和有钱人进行区别？如果所有普通人不能学习新闻学，从事新闻学，那么谁将为他们的权利发声？那么话语权都应该统一在有钱人的手里？其次，文科类专业哪一个好从事工作，为什么偏偏将矛头指向新闻学？考研分数线教育类师范类，新闻与传播不相上下，文科类都卷都不好就业是一个事实。最后，一个985大学教授和一个考研机构培训人，究竟是牵动了谁的利益？新传类考研起码近几年热度并不会降低，更别说重庆大学这样的985高校，怎么可能缺乏学生资源？,2023-06-16 20:52,38
新闻不是瞎编、抓流量不就行了吗？ 练写作不如选人家汉语言文学 ,2023-06-16 20:51,0
可是新传真的很难就业，全凭一腔热血、新闻理想… ,2023-06-16 20:50,0
但是我会更相信张雪峰 ,2023-06-16 20:50,0
新传学子在线看戏😋😋 ,2023-06-16 20:48,2
我很早就给我学生说的一个观点，进入社会后，如果所学专业会构成你收入的主要来源，那你就没资格学文科🤷不是说你穷，而是你连饭都吃不饱，你哪儿有余力进行思考，不如趁早转专业，别在我们文科这耽误自己。 ,2023-06-16 20:46,1
emmm 怎么说呢 我只能说还是非常遗憾没能考上新传的研究生 ,2023-06-16 20:44,0
虽然，但是！ 是真的！新闻学的路不好走 而且现在的就业环境太乱 有点难就是了 ,2023-06-16 20:43,0
报对专业，能少走弯路。但是不是报对专业，就万事大吉。 事实上，专业怎样，都有人成长为熠熠闪光的明星；也都有人淹没众人毫无所获只剩下沮丧。 很多时候，真正热爱还是很重要。而热爱之外，是否有天赋非常关键。还要加上真正踏实前行。 ,2023-06-16 20:43,0
理想不能当饭吃 ,2023-06-16 20:43,1
这个热搜挺好玩的，聊一下，先说结论，我支持张雪峰其实不只是新传，中文、历史、哲学，所有上层建筑类的文科专业都有一个特点，适合当爱好，不适合当专业。说一个最现实的例子，除了英语专业以外，新传应该是所有专业当中，英语成绩好的学生最多的，四六级对我们来讲是再 这个热搜挺好玩的，聊一下，先说结论，我支持张雪峰其实不只是新传，中文、历史、哲学，所有上层建筑类的文科专业都有一个特点，适合当爱好，不适合当专业。说一个最现实的例子，除了英语专业以外，新传应该是所有专业当中，英语成绩好的学生最多的，四六级对我们来讲是再基础不过的东西，考研英语80＋我们是常态（就说南航，南航英语80以下的真的很少很少，除非专业课能力特别突出），百分之六七十的新传硕士都是BEC高级or雅思7.0。为什么呢？因为我们太多人把英语当专业课学，而专业课，哪有专业课。学的东西涵盖了中文，社会学，心理学，哲学，历史一堆的东西。看似学了很多东西，但其实是很空的。而在这个要求有职业壁垒和专业壁垒的内卷时代里，英语和文笔就成了我们为数不多可以算作壁垒但其实不是壁垒的技能。考上研之后我越发产生一种文科就是自学和必须自学的空洞感（虽然我本科大部分时间也是自学）。并且越发有一种真正的文科复兴应该是由理科生掌握更多人文底蕴和人文思维来造就的，文史哲皆是，让理科生来学，会更能拓展文科思维。在什么样的时代下说什么样的话，要是非杠新闻出了多少人才，那上到政治局常委，央视三大社，知名作家，下到知名媒体人，报刊主编数不胜数，梁衡，金庸，鲁迅，邹韬奋……谁还没从事过新闻事业。但是时代不一样。识时务者为俊杰，就像四年前无数人会认为好的一本，好的专业会超过偏远地区末流211，但四年后的今天你去就业谁看你学科评估，国家特色，专业排名，只认92。我现在愈发觉得文科的专业里，只有法学，只有法学（虽然法学看出身）而且还必须是法学一级学科大类，才有一些专业壁垒，政治学社会学不行。所以现在的文科生，报考专业，找有壁垒的，学校好一点的，很重要。,2023-06-16 20:43,5
这件事最大的关键在于：一个眼光放在学术学科发展上；一个放在就业养家糊口上；所谓大学，既要追求大的学问，也要追求解决青年的就业问题。让大学问能应用于社会，让青年学到的能转化为生产力，才是高校现在应该着眼于的。我认为高校就业部门应该进一步与学院形成联系，与相关 这件事最大的关键在于：一个眼光放在学术学科发展上；一个放在就业养家糊口上；所谓大学，既要追求大的学问，也要追求解决青年的就业问题。让大学问能应用于社会，让青年学到的能转化为生产力，才是高校现在应该着眼于的。我认为高校就业部门应该进一步与学院形成联系，与相关学科带头人形成联系，而不应该是现在的摆设型部门，观光型部门。,2023-06-16 20:42,2
咱也不知道该站哪一边！感觉都没啥理。 ,2023-06-16 20:42,1
这又是个无聊的鸡同鸭讲的口水话题啊。首先，评价一个大学专业值不值得学，只看短期就业情况，就是很扯淡的。按照张雪峰的标准，现在有啥专业是很好就业的？就业率低的都不能学，那可能只能去学修车这样的技术活了。其次，就算看就业，那也得看学科的整体就业率，而不是看有多 这又是个无聊的鸡同鸭讲的口水话题啊。首先，评价一个大学专业值不值得学，只看短期就业情况，就是很扯淡的。按照张雪峰的标准，现在有啥专业是很好就业的？就业率低的都不能学，那可能只能去学修车这样的技术活了。其次，就算看就业，那也得看学科的整体就业率，而不是看有多少人直接从事了专业工作。很多大学毕业生从事的都不是所学专业，就像很多干新闻的，原来也不是学新闻的。这是很正常的跨专业就业。学新闻的，去考了公或者去大厂去别的企业做了宣传或者文字相关岗位，也是实现就业。有数据显示新闻毕业的，就业率比其他专业低么？没有的话张口胡扯谁不会呢。但张雪峰的话被一些人支持，也不是没理由。根源是新闻行业的没落呗。但这是新闻专业不行导致的么？有脑子的都能想明白吧。我不是学新闻的，但个人觉得在文科里面，这还是个不错的专业。理解舆论，学会写作，是很有用的素质。不要听一个搞考试培训的人瞎忽悠,2023-06-16 20:41,1
张雪峰的建议挺靠谱的。张雪峰针对的是大多数考生，针对的是大部分本科读完就会面临就业压力的考生们。文科类专业就业难是事实啊，没有门槛可替代性太强。 ,2023-06-16 20:41,1
他这发言，我翻译一下：没有对口岗位,2023-06-16 20:40,0
新闻早死绝了  还好脱离苦海～,2023-06-16 20:40,0
专家教授你们只能骗骗有钱人 ,2023-06-16 20:39,1
哈哈，骂得好！就该有人站出来让这位张雪峰老师清醒清醒！借用张小强老师的话：“他自己吃着传播的饭，却在砸着传播的锅，何其荒谬” ,2023-06-16 20:39,0
英专➕新传 我在这叠buff 呢 来个人把我打亖算了 ,2023-06-16 20:36,0
更印证了张雪峰说的是对的 ,2023-06-16 20:36,1
很多老师这辈子都在学校根本不知道现在的市场环境，我毕业的时候，隔壁有个同学去了美团1.5w，但老师不屑一顾，他是教授当然看不上，但他这个专业的本科生，如果按照本专业就业，只有5～8k。 ,2023-06-16 20:36,0
什么狗屁新闻学教授啊 ,2023-06-16 20:32,0
张说的是普遍就业现状吧？正如教授本人所言“到媒体就业需要提前实习很久”。相比较，放在一个标准线上，选全能的还是选专业对口的，大部分HR心里是有倾向的；当然，老板可能更偏爱前者。新闻专业是一个非常棒的专业，新闻媒体传播者，应该是真相的报道者，真理的追随、捍 张说的是普遍就业现状吧？正如教授本人所言“到媒体就业需要提前实习很久”。相比较，放在一个标准线上，选全能的还是选专业对口的，大部分HR心里是有倾向的；当然，老板可能更偏爱前者。新闻专业是一个非常棒的专业，新闻媒体传播者，应该是真相的报道者，真理的追随、捍卫者，有些时候，甚至被称为黑夜里的追光者。现在扁平化结构越来越多，希望新闻专业会越来越好。,2023-06-16 20:32,2
新闻传媒专业还是很吃香的，英美大使馆之类的最喜欢这类人了，学学人家赵某，没有新闻也可以造谣一个新闻出来，霸榜一个星期，这流量连明星都比不上 ,2023-06-16 20:32,1
新闻学确实不算理想的专业呀，如有机会进入行业内部，你会发现真正学新闻学的，其实并不吃香，学经济学的可以专门从事经济学板块，体育学的可以专门体育板块，旅游专业的可以专门旅游板块……新闻学太泛泛，反而有些不占优势。新闻学，讲究快，准，竞争非常激烈，只是单纯写 新闻学确实不算理想的专业呀，如有机会进入行业内部，你会发现真正学新闻学的，其实并不吃香，学经济学的可以专门从事经济学板块，体育学的可以专门体育板块，旅游专业的可以专门旅游板块……新闻学太泛泛，反而有些不占优势。新闻学，讲究快，准，竞争非常激烈，只是单纯写作水平好的，未必适合新闻领域，适合新闻领域的大多是性格开朗，且竞争意识非常强的人 。且倘若有机会进入报社，电视台等单位，你会发现人际关系相当复杂。当然如本身文科好的同学，只是想拿新闻学的毕业证作为跳板，后续考公务员等倒也可以。只是新闻学在考公务员时，专业也不具备优势。当然这世上也没有绝对好或者不好的专业，只能说适合不适合自己。,2023-06-16 20:32,28
作为一个新闻老兵，我理解张雪峰意思，大量非新闻专业的人也能从事新闻工作，不用专门去学。教授怒怼也是护食，都是自己的工作。我认为去学新闻专业的人，最好同时修双学位，可以是法学、经济乃至其他。 ,2023-06-16 20:30,0
新闻专业和法律专业主要问题不是就业难的问题，而是一直良心不安的问题。张雪峰老师说得对，谁家孩子报就打腿。 ,2023-06-16 20:29,0
大家一起来揭开虚伪的遮羞布 ,2023-06-16 20:28,0
怼人之前 先把你的行业优势发展说出来 通篇看完 和新闻相关的东西半年没有 别出来丢人了 ,2023-06-16 20:28,1
真的没必要学新闻学，毕竟课本上教的咱新闻工作者又不遵守，何必浪费四年时间呢？（传播学还是可以搞搞的） ,2023-06-16 20:26,0
早点看他直播我就不会入土木的坑了 ,2023-06-16 20:25,0
你们新闻学 出来的一半都是人zha 为了流量不择手段弄虚作假指鹿为马黑白颠倒 剩下一半正直的默默无名的转行 你还真舔着脸说 ,2023-06-16 20:25,0
当理想与现实的就业环境产生冲突，大家的立场没有对错。熊出墨站在媒体从业者的角度必须说一句，新闻学专业的就业范围还是挺广的！,2023-06-16 20:24,0
高中特别喜欢语文，高考语文130多，学了新传让我的语文纯洁性降低，一切跟流量挂钩 ,2023-06-16 20:24,0
看了下评论区 微博文盲真多 ,2023-06-16 20:24,0
教授不学辩证唯物主义吗？太主观了吧！学新闻就一定要说新闻专业好？发现问题解决问题才是发展的关键。 ,2023-06-16 20:23,4
怼什么，自己心里没点数吗,2023-06-16 20:23,1
我也蹭波热度 ,2023-06-16 20:22,0
国内现在还有新闻学？有点脑子的都清楚为什么张雪峰这么说，怎么？本身就没穿底裤，还不让人说了？ ,2023-06-16 20:20,0
家里有矿的随便按照自己的爱好选，无所谓啊，有父母兜底呢，父母才是你找得到找不到工作的责任人，老师不会为你没有工作负责，甚至会说：找不到工作是因为你没有学好。家里没有矿的，当然要选一个能安身立命的专业了。自己为自己负责吧。 ,2023-06-16 20:18,0
张雪峰说的对不对我不知道，反正垃圾媒体确实很多 ,2023-06-16 20:17,0
