如何看待2024年放假安排？除夕不放假？,gender,comments,likes,updated_time
年年骂我们春晚不好看是吧，不好看那就别看啦  ,-1,0,0,2023-10-27 11:37:24
中国人的性情是总喜欢调和折中的，譬如你说，这屋子太暗，须在这里开一个窗，大家一定不允许的。但如果你主张拆掉屋顶他们就来调和，愿意开窗了。 ——鲁迅,1,0,0,2023-10-27 11:37:14
伤害了中国人民感情。,0,0,0,2023-10-27 11:36:53
"听说这种休假放假很有“创新”私企和事业单位的打卡机制是很不同的，私企上班打卡，下班打卡，差一分钟，""你的考勤出现异常，全勤奖拜”事业单位，用打卡吗？这里不是说事业单位不忙，很闲，只是放不放假，领导一句话的事情所以除夕不放假，影响了谁呢？没有影响做决策的部门和各个部门的大多数人但是私企，没有调休、没有年假的人，该何去何从呀？",0,0,0,2023-10-27 11:35:55
除夕不放假，年夜饭咋整？速冻饺子啊！有些人当然不需要除夕了毕竟唱不完的颂歌还有过不完的年嘛！天天都过年，少一天除夕怎么了,0,0,2,2023-10-27 11:35:40
专家不是中国人,1,0,0,2023-10-27 11:31:40
因为除夕在晚上，你已经下班了，也不影响吃饺子和看春晚。,1,0,0,2023-10-27 11:30:30
一年11天遥遥领先,0,0,0,2023-10-27 11:30:14
看待什么？大声叫好就是了反正叫好叫骂都不会有任何影响。猪四个蹄子被宰的时候都会拱人人长了两个手两脚能用上的只有个嘴妙！,-1,0,0,2023-10-27 11:28:52
最早的时候除夕不放假，建国初期，为了统一节假日放假情况，1949年12月23日，当时的政务院发布了《全国年节及纪念日放假办法》，其中规定春节放假三天（正月初一、初二、初三），后来将除夕调为放假是2007年改革的结果，2007年修订的《全国年节及纪念日放假办法》第二天第二项规定：（二）春节，放假3天（农历除夕、正月初一、初二）也就是说，春节的三天假期由原来的正月初一、初二、初三调为除夕、正月初一、初二。发改委在接受记者采访时公布了当时的问卷调查结果：4、对于将春节放假的起始时间由农历年正月初一调整为除夕（大年三十）的问题，总投票1491956张，其中，支持1119533张，占75.04%；反对214822张，占14.40%；无所谓157601张，占10.56%。发展改革委就国家法定节假日调整问题回答记者问2013年12月11日，该办法再次进行了修订，第二条第二项修改为（二）春节，放假3天（农历正月初一、初二、初三）又调整回了最初的春节放假安排。也就是说，其实除夕早就已经不放假了，但是为什么前几年的除夕都放假了，是因为《办法》的第六条规定了：第六条　全体公民放假的假日，如果适逢星期六、星期日，应当在工作日补假。部分公民放假的假日，如果适逢星期六、星期日，则不补假。而之前的春节假期正好符合了这种情况，比如2021年春节假期之前的2月7日（星期日）上班，春节假期之后的2月20日（星期六）上班，2022年除夕之前的1月29日和30日（双休日）上班，2023年春节假期之后的1月28日和29日（双休日）上班。说白了，就是因为领导不想在节后连上7天班所以进行了调整，但是发改委完全可以解释为这是在贯彻落实《全国年节及纪念日放假办法》的规定。发改委这么大一个部门，居然解释不明白很好理解的这么一个问题，甚至转发一些所谓的微博大V的微博来洗白，发改委的解解们以后不要立牌坊了，直接做女表柱就行了。,-1,0,0,2023-10-27 11:24:21
情绪宣泄口罢了，我不相信在座的各位除夕那天会上班。反正从我个人而言，假确实变长了，除夕默认休息。,1,0,0,2023-10-27 11:23:48
在结束了早起干了一上午活的为数不多的吃午饭的时间里用着快淘汰了的红米手机边吃边看边担心着要是吃得慢没有吃完打盹的时间就只能晚上才能继续休息了。,0,0,0,2023-10-27 11:17:33
其实调不调休，哪天放假，基准都是13天想多更多的假，要么扣钱，要么年假抵哎所以无论怎么安排，大家都不会满意的，除夕放假了，后面就是连上七天，到时候就没人喊了？,-1,0,0,2023-10-27 11:17:32
我们是这个世界的NPC，虽然这个世界到处都是NPC，但是那又如何呢，不过一群NPC而已，意见不值一提,0,0,0,2023-10-27 11:14:54
https://www.zhihu.com/video/1701192957812871168多的不说,1,0,0,2023-10-27 11:06:52
个人的看法，大家喷除夕不放假和调休都只是个引子，某部门只看到了大家针对这点表达不满的表象。1.严格落实8小时工作制。2.严格落实加班必须付加班费。3.严格落实双休。以上三点哪怕能解决一点这次都不会那么汹涌。归根结底，生活压力、工作压力让很多人心力憔悴，这种疲惫烦闷的情绪是会累积的，需要时间去放松，去舒缓。劳逸结合，问题就出在劳太多而逸太少。,-1,0,0,2023-10-27 11:05:50
鼓励等于没有放假。年夜饭和春晚怎么办。还五大亮点？,1,0,0,2023-10-27 11:05:25
6,-1,0,0,2023-10-27 11:05:23
转移矛盾吧，从国家不给你放变成公司不给你放,-1,0,0,2023-10-27 10:59:45
跟我没关系，我都是小年开始放假,-1,0,0,2023-10-27 10:59:39
不懂中国国情还是怎么滴?除夕那天国家规定不放假你公司就不放假了?这次国家真是好心……效果也会比较好……,1,0,2,2023-10-27 10:58:27
所以从小到大鼓励年轻人学习先进思想开拓眼界，只是为了让我们在现实和思想的巨大差距下活的更痛苦吗？,0,0,0,2023-10-27 10:58:24
不是你们自己贱？放假非要出去旅游,-1,0,0,2023-10-27 10:56:20
往好的想，除夕不放假，没时间做年夜饭，后面初一到十五不用吃剩的了,1,0,0,2023-10-27 10:53:31
除夕不放假？喜欢上班的有福喽！除夕不放假？暗恋同事的有福喽！,-1,0,0,2023-10-27 10:52:03
那个三个热搜的回答怎么没有了,-1,0,0,2023-10-27 10:50:12
（转）中国最全的行业分类明细（中国行业类别一览表）记录篇第一产业指农林牧渔；第二产业指工业和建筑业；第三产业是指两者之外的产业，如服务业、金融、房地产、信息产业等。第一产业保障人们基本的饮食需求，第二产业使经济变得强大，第三产业则仿佛润滑剂，促进社会财富的流动。那么更具体一点，每个产业又可划分成多少行业门类呢？首先，从事相同性质经济活动的，就可以称为同一行业。在我国的国家标准中，共将社会上的各行各业划分成20个门类、97个大类。各分类都有其编号代码，门类按字母顺序从A到T，大类按数字顺序从01到97。属于第一产业的，只有A（农、林、牧、渔业）1个门类，下分5个大类。属于第二产业的，有B（采矿业）、C（制造业）、D（电力、热力、燃气及水生产和供应业）、E（建筑业）4个门类，下分45个大类。而剩余的15个门类和47个大类，都属于第三产业。下表总结了所有行业门类和大类。其中有一些大类若只看名称，会产生一些疑问，不知道具体涵盖哪些范围。本表在对应的说明中做了简单解释。作者声明   转：如有侵权，联系删除,0,0,0,2023-10-27 10:49:54
一战期间罕见的休战—— 圣诞节休战。 1914年12月24日至25日，西线上的德国、英国和法国士兵暂时停火，并在战壕之间交流礼物、食物、酒水和烟草。 他们还一起唱圣诞颂歌、踢足球、埋葬阵亡同胞，并互相祝福。 这是一次罕见的人性和友谊的展现，但是也遭到了高层指挥官的反对和惩罚。别人为了圣诞能停止战争，我们为了上班了调休除夕！,1,0,0,2023-10-27 10:48:00
调休不是放假，调休不是放假，调休不是放假。每次都把调休算进假期里已经很恶心。这次除夕不放假，说什么《鼓励》单位结合带薪年假制度让员工休息，简直就是天大的笑话。多少单位压根双休都难以保证，还带薪年假？退一万步讲，带薪年假是交给员工自己安排的，凭啥把规划权交给公司？懂了，不消费了，等下辈子消费，这叫调消费。,0,0,0,2023-10-27 10:47:24
我媳妇儿是老师，春节会提前跟孩子回500公里外的老家，只有我默默的等着放假,-1,0,0,2023-10-27 10:43:50
日前，国务院办公厅发布通知公布2024年放假安排。其中：春节假期从2月10日至17日放假调休，共8天。2月4日（星期日）、2月18日（星期日）上班。同时，鼓励各单位结合带薪年休假等制度落实，安排职工在除夕（2月9日）休息。（10月25日 央视新闻微博账号）一年一度的全国放假时间安排向来是社会关注的焦点。2024年春节连休8天，比过去多休息了1天，这当然是一个好消息。但坏消息是除夕那天不放假，有可能还要继续上班。按照现有规定，春节的法定假日是初一至初三这3天，除夕并非法定节假日。所以除夕这天实际上可以放假，也可以不放假。但对于公众而言，春节假期从除夕这天算起显然更符合期待。一方面，不少地方的过年习俗是从除夕这天开始的。另一方面，如果除夕不放假，很多异地工作的人可能无法回家团圆。从某种意义上讲，2024年的春节放假安排只需要把时间往前提前一天，完全就可以皆大欢喜。当然，官方对于春节放假安排也有自己的小心思。一是倡导各单位“顺应民意”安排职工在除夕这天休息，希望通过这种倡导来促进带薪年休假制度的落实。二是希望能够将除夕这一“隐性假期”与后面的8天假期相连，从而形成一个“9天的超长黄金周”来繁荣经济。与之相配套的举措是，交通运输部门宣布除夕至正月初八，小客车免收通行费。不是除夕不放假，而是为了鼓励各单位落实带薪休假。专家口中，这次春节放假安排是“一次非常巧妙的探索”。但问题的关键是这种纸面的倡导能否真正落到实处，或者说对用人单位的约束力又有多强？既然除夕放不放假交由单位说了算，那也就意味着单位可以放，也可以不放。这样一来，本来是一个“确定”的假期反而变成了一个“不确定”的假期，难怪会引发公众的吐槽。鼓励用人单位将除夕放假纳入带薪年休假安排带有很大的冒险成分。事实上，早在1995年开始施行的《中华人民共和国劳动法》就明文规定了带薪休假制度。2008年1月，国务院发布并施行《职工带薪年休假条例》，又对带薪休假的基本原则和执行等做出具体规定。但实际执行中，职工带薪休假制度落实不到位的问题比较突出。人社部在60个城市开展的人力资源和社会保障基本情况调查显示，按照在职职工工龄计算，我国人均带薪年休假天数约为10天，而实际上人均享受带薪年休假天数仅为6.29天，民营企业职工甚至不足4天，超72%的民营企业职工未完整享受过年休假。在这种情况下，寄望于用人单位让职工在除夕这天休息，很可能会造成苦乐不均。当农历的春节遇上公历的假日，调休是在所难免的事情。不同的人群有不同的需求和看法，众口难调的现实语境下，放假时间安排很难做到人人满意。除夕放不放假，并不只是一个时间的概念，更关乎国人对于春节的浓厚情结。官方倡导各单位除夕放假来促进带薪休假的落实，不知道有多少单位听懂了？,-1,0,0,2023-10-27 10:43:44
  一个9岁孩子的疑问：作为双职工的孩子，在大年三十的晚上，可以一个人过年。但是你能指望一个9岁的孩子，做出一桌年夜饭吗？,1,0,3,2023-10-27 10:42:01
说得好听点就是正在探索假期改革方向，说得不好听点就是你不听话好好工作财政收入从哪里来？,1,0,0,2023-10-27 10:41:51
抹杀掉我们最大的一个传统节日，我有理由怀疑队伍里出现了不该出现的人。,0,0,0,2023-10-27 10:40:49
除夕前一夜留守儿童：（开心）爸、妈，明天大年三十了，终于可以看到你们了？明天你们一定要早点回来哈，这次期末考试我考了100分了，回来给你们看...外出务工的父母：娃，爸妈......我们.....我们明天回不来，明天还要上班。留守儿童：（失望）......低声哭泣...你们骗人...哪有过年还上班的，你们是不是不回来了，你知不知道我等这一天等了多久，我再也不相信你们了.....大声哭泣.....空巢老人：娃儿，明天除夕早点回，今天你爸出门买了很多菜，都是你爱吃的外地工作的孩子：爸、妈，我明天还要上班，不回来了空巢老人：这么忙？怎么年三十还要加班？在外面要多注意身体呀外地工作的孩子：嗯，知道了妈，放心我会照顾好自己，那除夕夜你和爸在家吃，我有空再给你说，先忙了。空巢老人：好的，你忙吧空巢老人：老伴，明天还是把剩饭剩菜热一下，娃儿，明天不回来了空巢老人：低头.....叹气........,0,0,0,2023-10-27 10:39:02
放不放又用什么用呢，我们那新年第一天早上互拜年被取消了，烟花爆竹没了，早上烤火没了，一切有关习俗大都没了……,0,0,0,2023-10-27 10:37:34
资格：最多只有1亿人才有资格吐槽除夕是中国传统的团圆之日，2024年，却被规定为上班时间，引发网上吐槽一大片。但是，你真的有资格吐槽吗？1、民企放假，国企上班。相信大多数民企，都会提前放假，除非业务确实好得不得了。但在整个世界都在逼近萧条的开端，业务好得不得了的民企，基本都可以忽略不计了。国企为什么要在除夕上班？相信现阶段国企的日子也不好过，但是除夕上班，正好是一个考察组织力、执行力的机会。不想忍受，那正好，辞职啊！人才市场求职的庞大族群2、无所谓假期安排的庞大人群。灵活就业、失业、无业、离退休人群、学生、儿童等。14亿中国人，平均寿命75岁，非劳动人口约5亿人，灵活就业人口约2亿人。保守估计，有7亿人不在乎除夕上不上班，占了总人口一半。灵活就业人员，真的只有2亿吗？3、不在乎假期安排的农村人。根据国家统计局数据，2021年末，中国就业人口为8.55亿人。其中城镇就业人口为4.29亿人，农村就业人口为4.26亿人。农村就业人员，哪里还在乎除夕上班的要求？除夕？俺们农村，腊月15到正月15，都在放假啊哈哈哈哈~！4、在乎除夕上班的人群。2021年城镇国有单位就业人员数量为5633万人，同比2020年的5563万人增长1.3%。加上严格遵照国家放假安排的极少数民企（效益好、规模大、业务繁忙），真正除夕上班的人群，至多1亿人。结论：除夕日，13亿中国人安心团圆，1亿人坚守岗位，可行！你是那1亿人中的一员吗？那你就该庆幸，而不是抱怨！这世道，有一份稳定的好工作，太难了！1亿在除夕日坚守岗位的人，收获的，不该是同情，而是羡慕嫉妒恨啊！------------------------补记：开了近20年的公司，大概是撑不下去了。也许2024，就要开始放长假了，往后余生，都是长假，是很有可能的。希望，能撑住吧！我们还不想放长假！,1,0,0,2023-10-27 10:37:16
我相信政府的初心是好的不是有句名言嘛“大过年的”政府觉得除夕大部分企业都会人性化放假，所以无形当中人民多了一天假！这样既为人民争取到了隐形福利，又让企业有机会展示自己的人性化管理，大家互相理解，其乐融融。如此一举多得，怎么想都没毛病呀！,0,0,0,2023-10-27 10:36:15
天下兴亡，匹夫有责！匹夫兴亡，天下有责？,1,0,0,2023-10-27 10:34:17
,-1,0,0,2023-10-27 10:32:25
做的好的期货交易员都有几个特点；1、不会频繁交易；2、有足够的耐心，3、只做趋势品种，顺势而为之，4、有良好的心态；5、和身边的朋友一起分享行情；6、不断学习新的知识，做单时候也不落后。如果你不具备上面的特点，不建议做期货；因为市场是无情的，找个踏踏实实工作好点。交流会，学习更多期货知识。期货开户咨询：期货开户流程，详细步骤图示期货开户咨询：用一句话来对股票和期货的分别期货开户咨询：如何在期货市场上赚钱？期货大佬的经验之谈 ,1,0,0,2023-10-27 10:30:21
除夕被取消，大家义愤填膺是正常的，能理解。但是别骂得太离谱了，或者嘲讽得太夸张了。因为，以前本来除夕就是国家不放假的，以前春节就是是初一到初七，除夕虽然国家没放，但是大家默认除夕也是假期，因为基本上大部分单位都是提前放的。当初从初一到初七，改到除夕到初六，老百姓也是骂了很久，因为大家觉得除夕本来就要放假，改了以后，实际上少了一天初七了。我不相信网上全部都是刚毕业的年轻人，不知道以前这个事。现在其实相当于改回去了。实际上大部分人还是能提前放假的。如果现在在网上骂得凶的这些人，今年除夕全部在岗位上坚守一天，我愿意给你们所有人道歉。如果单位提前放或者个人提前走，我希望你们能回来删掉一些离谱言论。诚然，调休这个事可以骂，但是用什么除夕不放假，在那骂春节不要了给韩国越南，甚至引申到要否定所有中国传统文化之类的话语，也太离谱了。,1,0,5,2023-10-27 10:30:15
搞不懂唉,-1,0,0,2023-10-27 10:29:56
除夕不放假会影响家庭团聚的氛围，不利于传统文化的传承；而某些专家则认为调休制度可以更好地安排工作和生活，减少节假日期间的拥堵和浪费。8天假期，去掉本来应该周末的两天，实际就放了6天，为什么要声称放了8天呢？无论如何，政府在制定放假安排时需要考虑到各种因素，包括经济、社会和文化等方面的影响，通知已经发了，我们也只能抗议抗议，然后默默接受。,-1,0,0,2023-10-27 10:29:52
2021年下半年以来，A股市场持续下跌，去年债市也步入调整，基金赚钱效应转弱，一些 “固收+”产品，在今年成为了少数异军突起的风景线。其中，中信保诚基金量化投资总监提云涛和债市老将杨立春共同管理的三只低波动股债混合类产品，经历了多轮牛熊转换，今年净值持续创出新高，成为当前市场中不可多得的低波动产品。当“量化总监”遇上“固收老将”，会产生什么样的化学反应？这一策略又能给我们当前的理财难题提供什么样的解决方案？一起来看看。01奔向绝对收益的低波动解决方案提云涛是中信保诚基金的量化投资总监，也是公募量化投资圈中的大咖级人物。大家可能对量化不太熟悉，但做投资的肯定知道申万系列指数吧？提云涛就是该指数的设计者之一。他曾经7次荣获“新财富最佳分析师”，并获得“Asia Money亚太区量化最佳分析师”的称号，有25年的数量金融从业经验，23年证券从业经验，7年的基金管理经验。可以说，提云涛就是公募量化圈子中“本土派”的代表。提云涛喜欢用数据解读市场。通过对A股过去20年的历史统计，他发现，在偏债混合策略当中，随着股票仓位的提高，策略的风险也在增加。一旦股票仓位超过20%，录得负收益的年份次数就会增加；当股票仓位达到30%的时候，约每5年就会有1~2个年度录得亏损。基于这一逻辑，提云涛和债券基金经理杨立春认为，对于追求绝对收益的低波动资金，权益中枢为20%的偏债混合策略，可能是当前国内市场的较优解法。从2020年开始，提云涛和杨立春就将这一策略运用在中信保诚新旺混合（LOF）、中信保诚至瑞混合和中信保诚至选混合三只产品当中，从过去几年的运作情况来看，这个系列也体现出了收益稳定、一定程度防御风险、低波动的特征。从上图中可以看出，净值统计区间（2017年1月1日~2023年9月30日）内，中信保诚至选混合A的净值走势最为稳健，在过去6个完整年度中，仅2022年录得1.48%的下跌（数据来源基金定期报告），其余年份净值增长率均为正，今年以来也取得了2.57%的正增长，净值持续创新高，年化回报率达到6.30%（今年以来数据已经托管人复核，截止2023.9.30，年化收益率数据经基金托管人复核，年化收益率计算方式为：年化收益率=[（投资内收益/本金）/投资天数] *365 ×100%，年化收益仅为区间历史业绩的一种表现形式，不预示未来业绩表现，更不是基金业绩的保证，年化收益不代表投资者在任何时点均可获得该水平的收益）。从近3年基金定期报告的资产配置情况来看，中信保诚至瑞混合和中信保诚至选混合的权益仓位稳定在20%左右，中信保诚新旺混合（LOF）的权益仓位则会略高一些，但基本上也不超过30%。过去三年，中信保诚新旺混合（LOF）、中信保诚至瑞混合和中信保诚至选混合刻画出了低波上行的净值曲线，成为市场中低波动产品的代表之一，三只产品的净值也都在今年逆势创出了新高。02寻找稳进更优解，权益能为固收投资“+”点什么？当量化总监遇上固收老将，会产生什么样的化学反应？量化策略具有系统化、及时性的特点，擅长快速捕捉微小变量对投资组合的影响，其分散化投资的特点天然降低了组合波动，其严格的纪律性则帮助克服情绪因素从而理性地分配组合风险。在提云涛和杨立春的策略里面，不仅拥有市场上同类策略产品的系统化、分散化、纪律性，还有一些与市场不一样的个性。① 资产配置的功能虽然提云涛和杨立春认为，对于追求绝对收益的低波动资金，权益中枢为20%的偏债混合策略，可能是当前国内市场中的较优解法，但他们共管产品的股票仓位并非一成不变，在提云涛的策略当中，在某些特殊的市场环境下，定量分析叠加定性判断也能够起到资产配置的作用。去年10月份，沪深300指数创下两年的新低。当时，提云涛对历史情况进行统计分析后认为，沪深300创新低之后，短期可能还会下跌，但从较长时间维度上通常表现为上涨，而且计算新低的时间窗越长，后续涨幅可能越大。基于这一判断，再结合当时A股市场估值、基本面及市场情绪等因素，2022年四季度，提云涛主动提高了股票仓位。以中信保诚至瑞混合为例，定期报告显示该基金2022年三季度末的股票仓位是18.23%，到了四季度末，股票仓位已经明显提高到了20.25%。而从市场走势上看，沪深300指数在10月31日创下3496点的两年新低之后，很快也迎来一波小反弹。可以发现，提云涛的投资策略，不仅能够在大的资产配置层面，为不同风险偏好的产品确定权益中枢，匹配不同类型的资金需求；也能在市场的关键阶段，发挥资产配置的功能，成为组合超额收益的来源之一。注：以上内容不代表投资承诺，也不构成基金进行投资决策之必然依据。基金的投资策略、投资的比例及标的将视市场情况在合同允许的范围内进行调整，具体请以基金合同等法律文件为准。上述观点仅代表当前观点，不是对证券价格的涨跌或市场走势做趋势性判断。② 股票资产的选择在提云涛的策略当中，可能会用上数理统计，其更大的作用不在于交易，而是在于通过寻找股价变化的长期统计规律，进而帮助投资。在股票组合的构建思路上，提云涛可能分为四步：① 确定目标，从追求绝对收益视角构建组合；② 尊重投资常识，从金融逻辑出发在数据中寻找统计规律；③ 寻找股票价格长期上涨驱动力与短期波动干扰因素，其中，公司盈利增长是长期上涨驱动力，也是股价长期的称重机。④ 不考虑外延扩张，内生增长来自企业的盈利积累。以中信保诚至瑞混合为例，基金经理在定期报告中指出，股票组合的构建“综合考虑公司治理、盈利能力、成长性、资产质量、估值等因素，同时继续保持分散和行业均衡。”从近3年的基金行业配置来看，主要侧重周期、金融地产和消费板块。也就是说，在股票组合上，提云涛更注重通过长期视角，在价值投资的主观逻辑之下构建一个优质公司的组合，争取获得长期超越业绩比较基准的超额收益。注：对提及的板块/行业不做任何推介，不代表任何投资建议或推介，不代表基金持仓信息或交易方向。③ 控风险作为一名有着25年从业经验、7年投资管理经验的量化老将，提云涛始终对风险保持警醒。从1998年入行以来，提云涛经历过很多次市场的极端时刻，因此，在具体投资中，他非常重视组合的风险控制。首先，组合具有分散化的特征。提云涛和杨立春管理的低波系列产品中，基金持股数量有时候达到了200只以上，在这种情况下，组合表现不依赖于单一个股，同时也尽力规避单一个股波动的风险。其次，提云涛更倾向于将风险控制在事前。在构建组合的之前，他会设定很多规避风险的条件，比如行业的偏离度、市值的偏好等等。第三，纪律投资。在触发某些风控条件的时候，能够帮助基金经理克服情绪上的弱点。④ 坚守固收的基本盘在债券配置上，提云涛和杨立春的投资原则是：坚守固收的基本盘。一方面，在债券资产的构建上，以追求稳健收益为目标，用优质的信用债券打底，在控制风险的前提下争取稳健收益。另一方面，严格管控风险，系统考虑利率风险、信用风险、流动性风险，确定资产配置，并考虑动态调整预案。在这样的基础上，通过中长期视角的配置以及短中期动态组合调整获取债券市场的中长期收益。注：基金的投资策略、投资的比例及标的将视市场情况在合同允许的范围内进行调整，具体请以基金合同等法律文件为准。03结语：为什么说这是一套“古早味”的低波策略？仔细研究下来，我们发现，提云涛和杨立春这对老将的组合，跟我们想象中的打法并不一样。他们返璞归真，寻找符合基本面逻辑的公司，通过大类资产配置逻辑、坚守固收基本面、构建稳健的股票组合，实现稳健增长、低波动的类绝对收益目标。这样的投资策略，反而有点“古早味”的感觉。古早味是一种质朴的、传统的、记忆里的味道。据说有家古早味的老店，坚持橙汁一定要手工现榨，有人问这跟机器压榨有什么不同吗？老板的回答是，机器压榨太紧实，容易有皮的味道，还是人工力道拿捏味道最对。这是来自食客对“古早味”的讲究，而在低波产品线的投资当中，提云涛和杨立春打造出来的“古早味”，则是对投资初心、基本面价值以及本土化投资的表达。① 绝对收益的初心在谈到不同的策略时，提云涛说了这样一句话：“模型是人用的，不同的经历会让基金经理偏好选择不同的东西。”提云涛和杨立春都是久经市场考验的投资老将，他们经历过太多次市场的跌宕起伏和周期变幻，在他们看来，这个市场中有一大部分资金想要寻找的是绝对收益的避风港，这要求基金经理在获取长期收益的同时，也要控制好短期的净值波动。因此，他们在多年的实践当中，调和出了比较适合本土口味的低波股债混策略。过去三年多，中信保诚新旺混合（LOF）、中信保诚至瑞混合和中信保诚至选混合稳健运作，而日前，提云涛和杨立春还将四度联手推出——中信保诚瑞丰6个月混合（A类代码：019349：C类代码：019350），打造一只追求超越业绩比较基准的绝对回报的固收+产品。这一新产品的推出，也将成为这一产品矩阵当中的新力量。根据合同显示，这一新发产品在资产配置策略方面将在严格控制风险的前提下，力争获得超越业绩比较基准的绝对回报。在资产配置的基础上，股票投资策略方面，基金经理将通过自上而下及自下而上相结合的方法挖掘优质的上市公司，严选其中安全边际较高的个股构建投资组合：自上而下地分析行业的增长前景、行业结构、商业模式、竞争要素等分析把握其投资机会；自下而上地评判企业的产品、核心竞争力、管理层、治理结构等；并结合企业基本面和估值水平进行综合的研判，严选安全边际较高的个股。② 基本面价值的内涵提云涛一直提倡要寻找到“统计规律”与“金融逻辑”的统一。提云涛认为，股价长期的驱动因素是企业的长期盈利能力，数理统计擅长归纳历史规律，但不擅长逻辑演绎，只有将数理统计的手段与基本面投资的逻辑相结合，才能真正实现投资的价值，实现长期投资的目标。因此，在提云涛的投资思路中，基本面价值才是真正的内涵。③ 本土化的“烹饪”方式“古早味”的餐饮大多崇尚就地取材的原材料、简单原始的风味以及手工古法的制作，他们相信，去繁存简，反而能够最大程度地发挥食物自身的风味。提云涛是“本土派”的典型代表，他一直以来都坚持本土化的投资方式，根据A股市场的历史和特点，寻找更适合A股策略。在多年的投研实践当中，提云涛和杨立春总是坚守本土派的投资逻辑，沉下心打磨模型，坚守基本盘，反而在市场几轮大波动之后，形成了独特的低波动特征。这就像竞争激烈的餐饮行业，创新菜式层出不穷，但最后大家发现，最常光顾的，还是家门口那家古早味。备注（以上内容不代表投资承诺，也不构成基金进行投资决策之必然依据。基金的投资策略、投资的比例及标的将视市场情况在合同允许的范围内进行调整，具体请以基金合同等法律文件为准）基金有风险，投资需谨慎。投资有风险，入市需谨慎财商侠客行仗剑走江湖，飒沓如流星黄衫女侠|文财商侠客行|出品END,1,0,0,2023-10-27 10:28:41
未曾设想过的道路！,1,0,0,2023-10-27 10:28:05
2023年10月25日，国务院办公厅公布了2024年节假日安排通知，春节将在2月10大年初一日至17日放假调休，并且鼓励各单位结合带薪休假制度安排职工在除夕休假。此消息一出，引起社会一片哗然。也不知道哪个专家提议的，连中国最最重要的大年三十都不放假了，不管从从哪个角度来看都是毫无道理的，除夕是一年到头最重要的传统节日，没有之一，自古以来都如此。现在中国的传统节日已经被外国的节日冲击的体无完肤了，现在连最重要的节日都要自己阉割掉吗，如果不让过，那还不如直接给韩国棒子得了。专家不能坐办公室里用脚趾头投票建议吧。除夕当天你们下班后可以从容不迫溜达回家。但是你让外出打工漂泊在外的人怎么办，当天下班就是坐火箭他也赶不上年夜饭啊。有多少的打工人一年到头就期待着这一天能够和家人团聚，看看孩子，看看父母。所以除夕当天不放假透着不接地气，不尊重传统文化。当然通知上鼓励各单位灵活安排，你这是让我们去安排老板吗，还说这是史上最长春节假期9天，充分体现用心良苦，精心安排。各位专家们咱别自我感动了，大家认同不认同才是关键，不要之站在自己的立场想点子，最起码多听一下大家意见反馈。实事求是讲，除夕这天除了承担社会运行的必要行业和少数服务业，其他都可以放假。多放一天假社会跨不了，我们需要尊重传统，而不是随意安排传统。,1,0,0,2023-10-27 10:25:15
脑海中第一反应，这是老外制定的吧。中国是一个人情社会的国家，这么注重情怀的，突然搞出这样的事情，脑子秀逗了么到底是谁制定的，不说出来，喷死你。,0,0,0,2023-10-27 10:24:11
说实话，我感觉还好吧？因为感觉周边企业都会事实上多放几天供大家往返啊路上，或者实际上根据情况调休的。服务行业则本来就是反季节的休假，也不受影响。所以实际上受到影响的人并不多吧？当然我知道大家希望春节有更多的法定假日，可以理解。但我觉得至少这次放假安排，基本上没有变差，是持平的。,1,0,0,2023-10-27 10:24:10
国家规定除夕不放假，但鼓励各单位和机构根据实际情况来灵活安排，同时高速公路已经免费了。这是把企业主放到道德制高点，就看你放不放吧。,-1,0,0,2023-10-27 10:24:04
这片大地上，劳动者一直都没啥选择的权利,-1,0,0,2023-10-27 10:23:15
“怎么，闹脾气是吧？好好好！加大力度，大年三十也别想歇着，给我老老实实拉磨。”驴子小祥有苦难言却也只能忍气吞声，因为它坚信好日子还在后头呢！,1,0,0,2023-10-27 10:23:07
除夕不放假，早回家的话意味着要请假或者拿年休来换，没年休又不想请假的话，就老老实实在工位上靠时间吧，反正万家团圆的那天也没心思干活。,-1,0,0,2023-10-27 10:22:41
温馨提示，韩国除夕法定放假哦。而且韩国可没有调休，该放几天放几天。韩国法定春节放三天，除夕、初一、初二，但是今年因为大年初一是周末所以特地补休一天，一共放四天，从除夕到初三。唉，只能说有些决策是真的不考虑人民感情……说实话，现在中国传统节日的氛围真的不如洋节，传统节日被某些人阉割的毛都快不剩了，还不如洋节过得开心，毕竟洋节怎么过可没人管你。哦对了，有个小错要更正一下，不是中国传统节日没氛围，而是汉族传统节日没氛围，少数民族同胞们过的民族节日国家都保护的还蛮好，呵呵。,-1,0,0,2023-10-27 10:22:33
我觉得挺好的啊 ，因为老板也要过除夕。虽然不敢说全部，但绝对有一部分公司会除夕那天放假。这样一部分人就能白嫖一天假期。公司不放假的也没关系，请个假就好了。正常按照国家法定节假日放假的公司大部分都是有年假的，请一天年假也没亏什么啊。,-1,0,0,2023-10-27 10:22:11
求助下，想问下，2024年2月9日（除夕）这天，下午4点半，各大单位的服务窗口有开不……不要企业上班结果办事办不了，就很尴尬了,1,0,0,2023-10-27 10:22:08
