#五月天假唱鉴定#,Query time: 2023-12-17 22:49:01
【】两部门通知：①实名购票、实名入场；②大型演出要设定梯次退票标准；③公开销售门票不低于核准观众数量的85%；④。详戳↓↓↓，周知！ ,12月03日 19:22
𝟗𝟗𝟗𝟗+系列的宫九🛫️：满屏的精准客源‼自从11月20几号给她规划后 进步速度一直都非常的明显 这样的客源在短短的10天内已经不是第一次了 我记得应该是第三次还是第四次了进步速度真的非常的可以当她给自己定下每天100个引流目标的时候  她甚至超越做到了一天两百多  我就知道宫九的 𝟗𝟗𝟗𝟗+系列的宫九🛫️：满屏的精准客源‼自从11月20几号给她规划后 进步速度一直都非常的明显 这样的客源在短短的10天内已经不是第一次了 我记得应该是第三次还是第四次了进步速度真的非常的可以当她给自己定下每天100个引流目标的时候  她甚至超越做到了一天两百多  我就知道宫九的好时候到了是的 是我接下来想要重点培养的黑马核心储备+1 宫九小宝是那个曾经口袋里只有600块钱的生活费都要给我凑666补货进培训群的宫九,12月03日 19:22
你觉得五月天假唱了吗？,12月03日 19:22
喜欢了好久的五月天 ,12月03日 19:21
现在演唱会假唱问题，大概率会发展成几年前很多自媒体锤主播吃鸡开挂。接下来就会开始锤其他明星演唱会是不是都在假唱。事情大了总有人买单。,12月03日 19:20
唯一一支红了这么多年不感冒的乐队恋爱ing在KTV我都真唱,12月03日 19:18
Westlife不也一样假唱吗 🍠上都有视频 见怪不怪了,12月03日 19:18
对于我来说，我只是希望在每一年里，去见见我的“老朋友们”，去现场积累能量，因为有这一份热爱，让我积极向上。至于真唱假唱，我真的一点都不在意，我快乐开心就好，因为他们的歌曾陪伴过走过我至暗迷茫的日子。以至于我在现场，听到曾经耳机里无限循环的歌，我都会落泪，因为很心酸 对于我来说，我只是希望在每一年里，去见见我的“老朋友们”，去现场积累能量，因为有这一份热爱，让我积极向上。至于真唱假唱，我真的一点都不在意，我快乐开心就好，因为他们的歌曾陪伴过走过我至暗迷茫的日子。以至于我在现场，听到曾经耳机里无限循环的歌，我都会落泪，因为很心酸，但也轻舟已过万重山。往后，我依旧会坚持我的坚持，无需别人来评判它的好与坏。尊重且理解。,12月03日 19:17
五月天《干杯》妥妥的演唱会既视感 ，实属一绝,12月03日 19:17
五月天《干杯》妥妥的演唱会既视感 ，实属一绝,12月03日 19:16
今年还在沈阳看了五月天演唱会。。。这是我第一次看演唱会，当时感觉氛围很好很开心。虽然是真的怀疑过假唱，因为一场下来30-40首歌，每到一个地方都开好几天，觉得不可能嗓子保持得多好。但是转念一想——专业歌手可能就是能做到吧，我不该以这样恶毒的想法去揣测别人。。。没 今年还在沈阳看了五月天演唱会。。。这是我第一次看演唱会，当时感觉氛围很好很开心。虽然是真的怀疑过假唱，因为一场下来30-40首歌，每到一个地方都开好几天，觉得不可能嗓子保持得多好。但是转念一想——专业歌手可能就是能做到吧，我不该以这样恶毒的想法去揣测别人。。。没想到一念成谶。,12月03日 19:15
作为老五迷 虽然可能会被骂吧 希望五月天尽快回应 没有就告 有的话请认错道歉罚款立正挨打 然后卸下包袱继续走 作为歌迷 宽容在于愿意接受认错的你 不想无脑宠 这个时候虽然会被嘲 但还是希望五月天陪我一直二十岁💙 ,12月03日 19:15
台媒报道下的五月天演唱会外场实况,12月03日 19:15
台媒报道下的五月天演唱会外场实况,12月03日 19:15
五月天 邓紫棋 鸟巢演唱会《 盛夏光年 》,12月03日 19:14
五月天 邓紫棋 鸟巢演唱会《 盛夏光年 》,12月03日 19:13
五月天既然没实力就以后再也别开演唱会，幸好我上次没抢到票，紧紧捂住我的钱包！内娱还有值得我关注的屁事吗，对内娱真的彻底失望，已经没有一个娱乐明星能引起我的兴趣。我现在只会关注体育，给为国争光的运动员加油助威！！！ ,12月03日 19:13
你来告诉我这是假唱？？？,12月03日 19:13
我蚌埠住了我... ,12月03日 19:12
我不在乎他假唱不我在乎乐队如何假弹……… ,12月03日 19:12
一些都没去过现场的营销号搁这上纲上线蹭热度呢 一天不蹭就活不了了是吧 ,12月03日 19:12
五月天 蔡依林鸟巢演唱会《你不是真正的快乐》,12月03日 19:12
五月天 蔡依林鸟巢演唱会《你不是真正的快乐》,12月03日 19:12
"让我想起今年梁静茹的演唱会，有几场""大走调""，但是后面越唱越来劲，一步一步找回状态。这纯属，钱要！名要！就是不肯努力！所以骗粉丝~所谓的情怀~ ",12月03日 19:11
20万人北京鸟巢合唱五月天《倔强》快听哭了,12月03日 19:11
20万人北京鸟巢合唱五月天《倔强》快听哭了,12月03日 19:11
陈信宏你糊涂啊你 ,12月03日 19:10
宽容点吧，伍佰还不唱呢！,12月03日 19:10
反正八天听了四天的人听出来不一样了，有的场次摸鱼到想退票，怎么会假唱呢。唱那种类似夜访吸血鬼等要老命的歌，假唱咱也理解，毕竟50岁的人了。,12月03日 19:09
没关系呀，只要喜欢他，真唱假唱又如何！,12月03日 19:09
五月天鸟巢演唱会与王俊凯合唱《洋葱》,12月03日 19:08
妈的我至今想不明白，夜访吸血鬼这么难的歌真唱，恋爱ing这种口水歌跑去对口型相信音乐和陈信宏你们是咋想的，wmls都知道你嗓子不行，破音劈叉，英语烫嘴，非要投机取巧搞这种真唱夹一点假唱的么,12月03日 19:08
此情此景很难不想起一位故人……@ 梁欢 ,12月03日 19:08
五月天鸟巢演唱会与王俊凯合唱《洋葱》,12月03日 19:08
【】两部门通知：①实名购票、实名入场；②大型演出要设定梯次退票标准；③公开销售门票不低于核准观众数量的85%；④。详戳↓↓↓，周知！ ,12月03日 19:07
你能接受自己抢票花钱去看演唱会 结果偶像在舞台上假唱吗,12月03日 19:07
这都12月了还啥情怀5月天天冷加衣 早点睡啦,12月03日 19:06
很久没刷微博了，微博上的nt还是那么多，五月天假唱居然还有人说央视都是假唱咋没人说，真的逆天了，央视代表官方怕出事所以假唱，tmd一个live假唱是什么成分啊，能和央视比肩？,12月03日 19:06
就今天这热门话题我咨询了一下，得到下面👇的回答：“因为有的人不懂垫音是啥意思，而且 像快节奏的歌都要垫音，因为又唱又跳 很嗨 气息就不会稳。”一句话：不懂的就会说假唱  sb,12月03日 19:06
我不在乎wm们都不在乎！！！ ,12月03日 19:06
【】今日，引发网友热议。鉴定假唱的up主“麦田农夫”这两天发了多条鉴定视频，指出五月天上海演唱会，假唱比例占一半。2021年3月1日起正式试行《演出行业演艺人员从业自律管理办法》中第八条明确演艺人员不得出现的行为，涵盖了演艺人员 【】今日，引发网友热议。鉴定假唱的up主“麦田农夫”这两天发了多条鉴定视频，指出五月天上海演唱会，假唱比例占一半。2021年3月1日起正式试行《演出行业演艺人员从业自律管理办法》中第八条明确演艺人员不得出现的行为，涵盖了演艺人员在营业性演出中假唱行为“在营业性演出中以假唱、假演奏等手段欺骗观众，或者以违背伦理道德、违反公序良俗的方式进行演出吸引观众”。2005年9月1日起实施的《营业性演出管理条例》也严厉打击演出市场的欺诈行为，其第二十八条规定，“演员不得以假唱欺骗观众，演出举办单位不得组织演员假唱。任何单位或者个人不得为假唱提供条件。演出举办单位应当派专人对演出进行监督，防止假唱行为的发生”。同时，该条例第四十七条规定，以假唱欺骗观众的，观众有权在退场后依照有关消费者权益保护的法律规定要求演出举办单位赔偿损失；演出举办单位可以依法向负有责任的文艺表演团体、演员追偿；由县级人民政府文化主管部门处5万元以上10万元以下的罚款。为演员假唱提供条件的，由县级人民政府文化主管部门处5000元以上1万元以下的罚款。演员假唱是对消费者的“欺诈”，打击假唱，消费者要主动维权，主管部门也应负起责任。,12月03日 19:05
//:五月天还是太老实了，没能力真唱的话可以有各种其他形式，来听听华晨宇新歌的“和声伴奏”， 如同ktv开原唱如果学华晨宇这样“伴唱”从头到尾，粉丝就可以洗啦,12月03日 19:05
阿信和信不是一个人，但俩人都趁着今年演唱会爆火，来大陆大捞了一把。一个频频假唱、场场爆满；另一个虽然真唱，但场场翻车，惨不忍闻。建议官方好好整治一下，顺便好好查查这帮人的出场费都有没有合法纳税？ ,12月03日 19:02
干嘛呀，还在攒钱去看你们呢哥,12月03日 19:01
我不知道没听过演唱会的为什么跟风黑，没听过演唱会您是张口就来啊，觉得假唱先把您听的那场票放出来呢 ,12月03日 19:01
五月天的歌永远是传唱度很高的经典最近这个乐队深陷假唱风波，做为十几年的老粉丝。我也不知道该说啥，毕竟在如今纷纷扰扰的社会环境中，孰真孰假很难判定。还是安静的听他们的作品吧,12月03日 18:59
你们别抢票啊现场听不就是听氛围吗（脑残粉鉴定完毕 ,12月03日 18:58
真真假假并不是那么重要，才华是真的就行，我的目的很纯粹，为才华买单王力宏嫖娼，周杰伦老婆昆凌不当言论，林俊杰花边新闻陈粒，任素汐出轨哪怕铁证都是小问题，瑕不掩瑜，遮不住的才华但是薛之谦，华晨宇，孟美歧这种出轨的人是真的不行 ,12月03日 18:58
我想起了之前王者荣耀活动直播，只有他们是提前录好放的歌，其他所有人都是现场，当时还以为是时间冲突了 ,12月03日 18:57
我真服了 ,12月03日 18:57
当时非常不好意思驳了好朋友的邀请，确实不喜欢，会听着莫名心烦。虽然有很多朗朗上口的歌，但莫名这么多年一直喜欢不起来。娱乐圈讨厌清单里的明星里又塌了一个……我这个娱乐圈鉴渣体质有点敏感 ,12月03日 18:57
演唱会假唱就别叫什么演唱会了 叫录唱会比较合理,12月03日 18:55
好啊是假唱 明年你们别抢票 放我去！,12月03日 18:54
五月天粉丝都开始质疑视频鉴定的音源了你主子唱功有你嘴那么硬也不至于假唱啊年纪大了唱功不行实实在在得唱也不会骂你非要假唱圈钱，上海八场，给你能死了,12月03日 18:52
小调查：你觉得五月天在演唱会上是否真唱？,12月03日 18:52
耶 明年估计没那么多人抢票了吧,12月03日 18:52
真唱像水牛 ,12月03日 18:51
看过B站的评论才知道，五月天演唱会假唱的把戏，最早可以追溯至09年，而且在湾湾也可以说是心知肚明，只因五月天在湾湾的地位之高，所以才没有被媒体戳破“窗户纸”而已。怎么说呢，五月天并非自己的青春，但演唱会假唱，既 看过B站的评论才知道，五月天演唱会假唱的把戏，最早可以追溯至09年，而且在湾湾也可以说是心知肚明，只因五月天在湾湾的地位之高，所以才没有被媒体戳破“窗户纸”而已。怎么说呢，五月天并非自己的青春，但演唱会假唱，既违法，也对不起那些发自内心喜欢五月天，视五月天为自己的青春的歌迷。其实，如果五月天在17年获得金曲奖后就选择隐退，也就不会有今日之事，落得个晚节不保了。日月流转，青春不复，又何苦非要勉强呢！,12月03日 18:49
假唱冲上热搜，你们怎么看呢？,12月03日 18:48
你们都别抢票呀！,12月03日 18:48
【热搜第一！知名乐团被质疑假唱，官方回应！】3日一早，话题词冲上热搜第一的位置。有博主制作视频，对五月天上海演唱会12首歌的真假唱进行鉴定。随后，“五月天假唱鉴定”登上微博热搜第一。12月3日，北京市文化市场综合执法总队回应，他们会将情况记录下来，根据情况进行判定。“ 【热搜第一！知名乐团被质疑假唱，官方回应！】3日一早，话题词冲上热搜第一的位置。有博主制作视频，对五月天上海演唱会12首歌的真假唱进行鉴定。随后，“五月天假唱鉴定”登上微博热搜第一。12月3日，北京市文化市场综合执法总队回应，他们会将情况记录下来，根据情况进行判定。“如果后续涉及调查，会在官方平台进行公布。”详情请点链接：,12月03日 18:48
不信 ,12月03日 18:47
今年看了四场五月天演唱会，我不信非专业、非严谨，非官方的验证，更何况网上视频来历不明。我只相信自己用手机录的视频，我不觉得有假，自己判定吧。作为五迷我当然也反对演唱会假唱，但前提是我自己亲耳听到了假唱。我没必要无脑拥护喜欢的乐团，但也不会跟风拿着所谓间接的证据就随意发表定论。今年看了四场五月天演唱会，我不信非专业、非严谨，非官方的验证，更何况网上视频来历不明。我只相信自己用手机录的视频，我不觉得有假，自己判定吧。作为五迷我当然也反对演唱会假唱，但前提是我自己亲耳听到了假唱。我没必要无脑拥护喜欢的乐团，但也不会跟风拿着所谓间接的证据就随意发表定论。,12月03日 18:46
镇别寒了歌迷的心，也别差别对待区域，毕竟明星已经是高薪职业了，一定要对得起这份职业。虽然假唱已经见惯不惯，但也别把歌迷当傻子。期待一个结论吧。,12月03日 18:46
,12月03日 18:45
是真是假自有监管部门，虽说大把晚会假唱。他们该惩罚惩罚，该罚钱罚钱。看着这层出不穷的营销号突然排着队给他安排热搜，笑了。事出反常必有妖，莫名其妙给你整点动静，就可以看看谁是小人。 ,12月03日 18:45
假唱不对，但能理解。 ,12月03日 18:44
去看演唱会第一是喜欢这位歌手，第二喜欢演唱会真整体氛围如果喜欢的歌手不再真诚，歌曲是播放的录音，就剩粉丝在自嗨那花钱买票甚至加钱买黄牛的粉丝，真是一个笑话！,12月03日 18:43
互联网的最大特征是，听风就是雨从未反思，从未停止前仆后继的被带，前仆后继的发声，前仆后继的跳入坑 ,12月03日 18:41
抵制演唱会假唱,12月03日 18:38
我觉得比这还离谱呢,12月03日 18:37
虽然但是，去之前好像就知道了，五月天是半开麦的，这好像不是什么秘密了，气氛是没的话说,12月03日 18:36
特么的，这么多假粉以前怎么没见你们说假唱，现在一个个活跃的跟吃了兴奋剂一样，看热闹不嫌事大？你有石锤证据吗就跟着瞎特么评论，艹 ,12月03日 18:35
这可不是假唱一场，而是一整年！！基本上吊销国内的演唱会许可证了，到时候该退票的退票吧,12月03日 18:34
西安演唱会我去了9.9-9.10两场，9.8阿信吸氧了，假唱的话不至于会吸氧吧，9.9--9.10两场有的喝能听出来他的换气声，有些偶尔跑调，而且因为感冒声音有些不一样，我相信去的人都能听出来。其他场的我没听，不知道，但是西安场肯定没假唱。我也不相信阿信会假唱，永远支持五月天 ,12月03日 18:32
说干杯假唱的自己听听49s的换气声,12月03日 18:31
逃避暴力的爸爸的女主，跳下了海，在无人岛困了15年。坚强的活下来，遇到了她当初要投奔的女歌手。偶然的契机，在女歌手的演唱会上当影子歌手：台上的假唱，她真唱。唱的真好！表情好牛！朴恩彬的表情和很像！逃避暴力的爸爸的女主，跳下了海，在无人岛困了15年。坚强的活下来，遇到了她当初要投奔的女歌手。偶然的契机，在女歌手的演唱会上当影子歌手：台上的假唱，她真唱。唱的真好！表情好牛！朴恩彬的表情和很像！,12月04日 23:56
看了好多抖音视频都是现场录制的，明显看到一首歌一半唱一半对口型，属于什么性质… ,12月04日 23:52
作为杰伦十几年的真爱粉和五月天路人粉，在KTV可以完整唱下来杰伦百分之八十的快歌加慢歌，但是五月天的歌就只能唱十几首，其余大部分总是有那么一部分或太高或太低唱不了，阿信音域广，他的很多歌音调跨度很大，好听但难唱，我在练唱五月天歌曲的时候时常感觉无奈， 作为杰伦十几年的真爱粉和五月天路人粉，在KTV可以完整唱下来杰伦百分之八十的快歌加慢歌，但是五月天的歌就只能唱十几首，其余大部分总是有那么一部分或太高或太低唱不了，阿信音域广，他的很多歌音调跨度很大，好听但难唱，我在练唱五月天歌曲的时候时常感觉无奈，因为音色和音域这个真不是可以随便练出来的玩意儿。很多人说林俊杰不为谁而作的歌是“只有歌手自己才能唱的歌”，我个人一直觉得五月天的很多歌才真的称得上是。演唱会周五合体演唱，杰伦唱的部分都是相对简单的部分，唱到比较高的部分阿信直接上去毫不费力，杰伦就比较吃力，或者要转换假声，虽然很爱杰伦，但是也不得不承认杰伦唱功比不上阿信的事实。现在爆出这个消息，这两天被众多五迷科普阿信现场唱功烂早就是在粉丝中众所周知的事情，但是，就算这样，也洗不掉阿信演唱会假唱的事实，乐队假唱，是乐队每一位成员认可的选择，更难以原谅。他们这些本世纪初甚至更早就出道且持续高产的中年歌手，在过去20多年里开了无数演唱会和演出，大量用嗓加之年轻时不注意保护，嗓音条件早就退化的厉害，这是令我们这些歌迷也令他们歌手自己痛心的事情。杰伦除了这么多年除了一如既往地被诟病周郎才尽外，现在最多被诟病的是他的专辑总是一鸽再鸽，鸽了这么多年才在去年终于又出了一张，我总觉得，他不一定是写不出来像以前那样好的作品，而是写出来了以他现在的嗓音条件没有办法像以前那样轻松并且完美地呈现给歌迷，这对那么骄傲和追求极致的他来说这是不能接受的，每次想到，就觉得真令人难过。 他们早就功成名就不用再辛苦巡演，可是因为那么多爱他们的歌迷他们没有停止，一把年纪了还一直在唱下去回馈粉丝，但是不管什么，都不是假唱的理由，如果身体条件不足以支撑，何必要档期排那么紧，上海场连开八场，这么高强度的演唱对嗓子损害有多大不言而喻，这样岂不是饮鸩止渴？事情已发酵了两三天，没有等来道歉，所有的回应都是否认，这样的行为真的可耻，让所有相信支持你们为你们骄傲帮你们辩驳的粉丝替你们蒙羞。这和我从那么多五月天歌里认识的五月天是同一个五月天吗？我觉得真不是了。,12月04日 23:51
嗯，明白人懂得都懂，粉丝别给人泼脏水了。 ,12月04日 23:50
越看越气，气的睡不着！ ,12月04日 23:50
,12月04日 23:48
,12月04日 23:48
这段假唱得太明显了！傻子听不出来！你可以大白嗓可以像周杰伦那样找小弟来帮唱或者可以降调，但是假唱犯法啊,12月04日 23:47
对面 能不能找点高质量营销号，这种要扣钱吧 ,12月04日 23:45
造谣一张嘴，辟谣跑断腿,12月04日 23:43
连续剧?！假唱后续是报团,12月04日 23:43
沸沸扬扬呀！吃瓜群众太多了…… ,12月04日 23:39
会不~~~会不会有一天来自五月天武汉演唱会（有原声的嘛）,12月04日 23:38
趁五月天节奏大推荐一下林宥嘉的现场🤩🤩🤩,12月04日 23:37
今年看了一场五月天，两场周杰伦，看完周杰伦还疯狂吐槽杰伦唱得不如从前了，没有五月天稳，真该死啊，,12月04日 23:36
气死我了，等不到直播了！那些说直播没办法证明之前是否假唱的认来看！今年五月份鸟巢第一场，本人手机录的没有任何修改，每一句话听得清清楚楚，甚至每一个换气，还有中间没按照歌词唱的部分，还有当了背景音乐少唱的，别说假唱了，垫 气死我了，等不到直播了！那些说直播没办法证明之前是否假唱的认来看！今年五月份鸟巢第一场，本人手机录的没有任何修改，每一句话听得清清楚楚，甚至每一个换气，还有中间没按照歌词唱的部分，还有当了背景音乐少唱的，别说假唱了，垫音都很小好吗！他那么用力地唱，是 嗓子不如从前了，但我12年第一次看五月天演唱会到现在，每一次巡回都会看不只一场，翻看了一遍之前录的视频，场场都不一样！是谁说一直用同一个音频的，你们这些人最好都别删除留好证据，造谣转发五百次以上就要付法律责任！,12月04日 23:34
伤心的人别听慢歌 鸟巢鉴定完毕 放下话筒的一句没有阿信声音 还是只有和声今天先鉴定专家鉴定过的几首吧[丰收了],12月04日 23:33
五月天说：我如果对自己妥协 ，如果对自己说谎 ，即使别人原谅我也不能原谅。我说：关你屁事，关我屁事。记住人生八字箴言，那面镜子照照自己，好好过日子。佛说，如下。这么多年来，每一次的CON不仅是与朋友们之间美好的回忆，更是我青春泥地上的每一个印记，深深浅浅 五月天说：我如果对自己妥协 ，如果对自己说谎 ，即使别人原谅我也不能原谅。我说：关你屁事，关我屁事。记住人生八字箴言，那面镜子照照自己，好好过日子。佛说，如下。这么多年来，每一次的CON不仅是与朋友们之间美好的回忆，更是我青春泥地上的每一个印记，深深浅浅，有泪 有笑 有感动 有发泄，那一每分钟带给我的是只属于我自己的印记。我不容许它们沦为资本家的玩物,12月04日 23:33
歌手开演唱会就应该真唱我是粉我也得说 这是职业操守,12月04日 23:32
我 如果对自己妥协如果对自己说谎即使别人原谅我也不能原谅。如果假唱，真对不起《倔强》这首我最爱的歌里的歌词。 ,12月04日 23:32
照这样子去什么现场  买个音乐VIP算逑子,12月04日 23:30
三观请别跟着营销号走,12月04日 23:29
还挺讽刺的 ,12月04日 23:28
一群引流狗，知道五月天五个人是谁吗？,12月04日 23:26
五味杂陈..绝对认同假唱不好 也不希望洗接受批评也好 骂也好 该谴责 该惩罚但蹭着热度开始贬低乐队 乱喷作品的人真是恶心 口水歌口水歌怎么了 摇不摇滚又怎么了歌词好旋律好能引发共鸣的歌大众喜欢只能说萝卜青菜各有所爱别墙倒众人推 ,12月04日 23:25
看了一些演唱会视频，确实有假唱的嫌疑和爱五月天有什么关系吗 ,12月04日 23:24
这一场我是在南京站看的现场我可以证明他们没有假唱有看同一场的wmls可以进行补充,12月04日 23:23
受不了了，我如果是五月天的粉丝直接心梗,12月04日 23:20
最近音乐圈不太平啊,12月04日 23:19
服了，这破事儿沸沸扬扬闹了几天了何必呢？我是真心觉得，这是一个很正常的现象怎么，歌迷们这么多年了都还没完成心理建设？？？当然啦，我也明白，歌迷们，需要一个合理的当口儿，发泄一下对现行演艺圈儿购票这些制度还 服了，这破事儿沸沸扬扬闹了几天了何必呢？我是真心觉得，这是一个很正常的现象怎么，歌迷们这么多年了都还没完成心理建设？？？当然啦，我也明白，歌迷们，需要一个合理的当口儿，发泄一下对现行演艺圈儿购票这些制度还有潜规则的不满反正生真气，又或是死去活来，什么哎呀梦想破灭啦什么乱七八糟的，这些，是真没必要您要心这么窄，那您得活得多累啊这也就是为什么，除非是有非去不可的理由，我自己，反正这辈子不会给演唱会花一分钱我tm有那闲钱儿看他们唱歌？老子十年前干妈带着我在泰安，在声远舞台和运河音乐厅开的双排键专场，不比这有意义多了？？？自己能演，我干嘛看他们？？？有病啊钱多的，没地儿花了？,12月04日 23:16
,12月04日 23:16
闹得很大呀。 ,12月04日 23:14
我的妈背单词背着背着走神了一下我想到如果是我去听五月天演唱会的歌迷，花特别多钱如痴如醉地在现场那样陶醉，最后告诉我放的是录音！我真的会破大防！！那我qq音乐是不好吗还是怎么的？,12月04日 23:11
笑死，要是说五月天是假唱的话，那伍佰这个算什么,12月04日 23:10
我有多难受没人懂 我歌单里最多的就是他俩的歌 结果唉。。。 ,12月04日 23:09
2023年度理财产品TOP1,12月04日 23:07
【五月天经纪公司回应：没有假唱，稍后发声明】12月3日，知名乐队五月天被曝出多次在演唱会假唱。B站UP主“麦田农夫”发布视频称，经其通过专业软件鉴定，粉丝投稿五月天11月16日上海演唱会12首歌曲音频中，近半为假唱，11月28日伦敦 【五月天经纪公司回应：没有假唱，稍后发声明】12月3日，知名乐队五月天被曝出多次在演唱会假唱。B站UP主“麦田农夫”发布视频称，经其通过专业软件鉴定，粉丝投稿五月天11月16日上海演唱会12首歌曲音频中，近半为假唱，11月28日伦敦演唱会整场27首歌曲中，部分歌曲为假唱或真假混唱。视频经搬运后，热度持续发酵，登上微博热搜前三。12月4日中午，界面新闻就假唱传闻致电五月天经纪公司相信音乐，该公司工作人员回复称“没有假唱”，界面新闻进一步询问是否有官方回应，对方称：“会有，稍后会在官方公众号上回应，你可以持续关注。”,12月04日 23:06
【五月天经纪公司回应：没有假唱，稍后发声明】12月3日，知名乐队五月天被曝出多次在演唱会假唱。B站UP主“麦田农夫”发布视频称，经其通过专业软件鉴定，粉丝投稿五月天11月16日上海演唱会12首歌曲音频中，近半为假唱，11月28日伦敦 【五月天经纪公司回应：没有假唱，稍后发声明】12月3日，知名乐队五月天被曝出多次在演唱会假唱。B站UP主“麦田农夫”发布视频称，经其通过专业软件鉴定，粉丝投稿五月天11月16日上海演唱会12首歌曲音频中，近半为假唱，11月28日伦敦演唱会整场27首歌曲中，部分歌曲为假唱或真假混唱。视频经搬运后，热度持续发酵，登上微博热搜前三。12月4日中午，界面新闻就假唱传闻致电五月天经纪公司相信音乐，该公司工作人员回复称“没有假唱”，界面新闻进一步询问是否有官方回应，对方称：“会有，稍后会在官方公众号上回应，你可以持续关注。”,12月04日 23:06
小红书搬运的视频，不是垫音也不是和声，就是假唱，睁开眼看看。本来我早看见了，但是真正想发是因为看见有人在龚琳娜微博评论区轰炸以及试图拉华晨宇下水。从来不觉得粉丝维护有什么错，但是要洗就针对假唱提出证据，别一天天私信攻击别人，觉得这是 小红书搬运的视频，不是垫音也不是和声，就是假唱，睁开眼看看。本来我早看见了，但是真正想发是因为看见有人在龚琳娜微博评论区轰炸以及试图拉华晨宇下水。从来不觉得粉丝维护有什么错，但是要洗就针对假唱提出证据，别一天天私信攻击别人，觉得这是对家黑稿，要拉其他歌手共沉沦。软件也不是你们质疑他就没有权威性的，我已经用了不是一天两天了。,12月04日 23:06
关于大家说的阿信嘴形对不上，第一段视频大屏幕明显是有1-2s延迟，后三段摄于上海场，大家可以听一听，因为都在蹦就只录了这么多，其他场次的我也有，大家都说针对上海场我就不放了。作为12年开始开始奔赴现场参加演唱会，诺亚方舟是我看的第一场，一句十年wm不为过吧，这十年也看了很多场。今年也看 关于大家说的阿信嘴形对不上，第一段视频大屏幕明显是有1-2s延迟，后三段摄于上海场，大家可以听一听，因为都在蹦就只录了这么多，其他场次的我也有，大家都说针对上海场我就不放了。作为12年开始开始奔赴现场参加演唱会，诺亚方舟是我看的第一场，一句十年wm不为过吧，这十年也看了很多场。今年也看了几场五月天演唱会，我觉的是半开麦的程度，我也欣然接受，对我来说五月天的音乐在我遇到苦难的时候给了我许多力量，我奔赴各个城市见到他们，看到他们对我来说就足够了，我能感受到他们现场所传达的就够了。🖐️欢迎对线，忍yxh很久了。,12月04日 23:04
真tm离谱啊一眼假…好嚣张的假唱,12月04日 23:02
是不是用这个话筒啊？追剧少年Joe的视频,12月04日 23:01
质疑最多的 干杯 鸟巢场放大音量鉴定过了 仔细听下没唱的和声 跟后面的区别,12月04日 23:00
五月天否认假唱，到底谁撒谎，姐，只会撒尿，不会撒谎,12月04日 22:59
五月天否认，六月伏天，人人揺扇，我心寒，,12月04日 22:57
不知道说什么好 ,12月04日 22:56
喧哗如果不停 让我陪你安静,12月04日 22:54
五月天否认假唱，唉，对对错错一出戏，真真假假总难辨，,12月04日 22:54
今天偷得半日闲，看了两个五月天“假唱”鉴定视频和一些其他相关鉴定视频。不得不承认那个人挺专业，有专业的设备，专业的软件和专业的技能，从专业的角度和不专业的出场方式判定了五月天“假唱”，那在我心里也判定这名up不是坏人，但也不是善人。一个正常人，别说连唱三天五天了，能完整唱完一场嗓 今天偷得半日闲，看了两个五月天“假唱”鉴定视频和一些其他相关鉴定视频。不得不承认那个人挺专业，有专业的设备，专业的软件和专业的技能，从专业的角度和不专业的出场方式判定了五月天“假唱”，那在我心里也判定这名up不是坏人，但也不是善人。一个正常人，别说连唱三天五天了，能完整唱完一场嗓子完好如初都算医学奇迹了，更何况要连续开这么多场还不允许有瑕疵。作为五月天的粉丝，看到自己热爱的乐队从每个地方一场到三场到后来的八场。粉丝是爱他们，但粉丝们不傻，以大家对嗓子的知根知底，以阿信在西安的吸氧表现，能不质疑阿信难道会突然变超人？能完全相信五个加起来239岁的人还能L！O！V！E！得动？我是从小巨蛋那版《温柔》开始喜欢五月天的，看到“全部自由”配合漫天飞纸的那种氛围不禁热泪盈眶，后来又看了同场的《孙悟空》，我不知道这是不是纯粹摇滚，但在我心里这就是现场王，并种下种子一定要亲自到内场体验一把！那年我18岁高中毕业，每天要在必胜客负责打烊，夜里11点的大街上，我肆无忌惮的喊着《星空》《仓颉》《我不愿让你一个人》不管他们睡没睡……后来我的种子发芽结果，成就了13年鸟巢副舞台旁边的我，那年我21岁。后来的22岁，我随学校到台湾实践大学高雄校区交流，当时接待的老师说，阿信当初是经常当科的，后来看他唱歌还不错就让他毕业了，哈哈好搞笑。十年后我31岁，给身边的爱人听五月天，她不是五迷，对五月天的歌只有“词写的真的好，是真的好…”没错，五月天的粉丝对唱功心知肚明，从“从新（破音）开始活着…”就知道，但一天也好、三天也好、八天也好。他们用几十年成为一群人的精神支柱，我想大家不是为了听他们的唱功技巧吧，我想大家至少是想追一追那个回头望的少年，追一追求而不得的人，再追一追还没实现的梦想吧。回过头看鉴定up，确实燃烧了自己，透支了身体，用自己的健康捅破了大家早有预期的窗户纸，并以冷嘲热讽的姿态，嘲笑大家的美好青春。为什么专业的大佬这么多，为什么偏偏是他最明白，如他自己所说，垂死病中惊坐起，只为蹭的流量。所以不管官方判定如何，我判定他不是一个善人。对了，不专业的我想问，如何确定“假唱”歌曲就是现场录音？对了，有多少人能在两秒内说出这位“专业人士”的名字？,12月04日 22:52
ww真的好爱抱团low 不low,12月04日 22:52
